,O1,O2,O3,O4,O5,O6,O7,O8,C1,C2,C3,C4,H1,H2,H3,H4,H5,H6,H7,H8,C5,C6,C7,C8,H9,H10,H11,H12,O1err,O2err,O3err,O4err,O5err,O6err,O7err,O8err,C1err,C2err,C3err,C4err,H1err,H2err,H3err,H4err,H5err,H6err,H7err,H8err,C5err,C6err,C7err,C8err,H9err,H10err,H11err,H12err
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.07771666,131.20729493,136.6251245,147.82597449,26.22178611,28.23895439,25.73844415,27.37389578,29.57305111,25.62963155,28.04931646,29.35856751,-3.58929745,-4.76812772,-30.96682551,1.28854445,12.17077733,16.84331194,14.29845096,22.45053647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00861191,0.99163473,0.95193661,1.04529642,0.09459252,0.11478557,0.07824497,0.17263115,0.20165395,0.10729837,0.22435352,0.1383622,0.68252829,0.64821923,0.56132518,0.78749856,0.20420859,0.2375709,0.10473522,0.19577683
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.2243704,134.39369038,152.321473,149.70203667,29.17425895,26.63048054,29.05211385,25.17758487,29.49328933,26.84557909,28.367836,30.02788891,-4.05226143,-8.88800738,-15.27764276,-32.99134328,14.87240406,19.10707022,14.2779937,11.83206663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68914414,0.78490131,0.64003649,0.73979186,0.15822705,0.13369825,0.096607,0.11426794,0.18634678,0.12590013,0.12441378,0.21632952,0.55307779,0.63482844,0.26957063,0.75827307,0.21495665,0.41164628,0.15177035,0.17026324
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.07276003,139.52063715,134.22927315,141.11066579,26.37357508,27.27739168,27.3197686,27.83735369,28.49211758,26.61444608,27.14834999,25.51569626,-9.42748968,-7.54361364,-3.0292761,-16.69443064,16.21357913,18.34106377,19.68049715,19.09761355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38727399,1.00051189,0.54021675,0.8454125,0.16427028,0.09252734,0.1189122,0.22088664,0.23976274,0.14510044,0.14800875,0.25942921,0.52594445,0.76920959,0.74641911,0.75326229,0.24847569,0.27886671,0.21627966,0.32347571
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.34185493,144.70623822,150.69453266,144.1571977,26.75417839,26.3061147,29.59426822,29.48451956,26.34045974,27.82919356,27.34104999,25.64465834,-21.50191007,-16.1696359,-15.19070756,-1.11615057,19.11527664,22.11568762,17.28444962,15.51313353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6596249,0.78886664,0.44687794,0.72403855,0.11925069,0.11247939,0.14440747,0.17398638,0.12651156,0.13276763,0.07377487,0.14657387,1.0050083,0.60914951,0.76915225,0.50875226,0.35894999,0.36005582,0.27478349,0.3014832
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.43772168,139.49728113,147.34493224,133.01493696,25.50695723,26.91770362,25.93541992,26.27155185,25.7069789,28.39791953,26.97302955,28.07102076,-4.34712484,-6.39110883,-8.31723725,-2.01232084,13.56189734,15.89540031,17.36509641,20.55239895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99998294,0.93602782,0.7879212,1.5401373,0.09823759,0.20545401,0.08810354,0.1750923,0.23763553,0.14047349,0.07287113,0.24970265,0.54958374,0.62988132,0.54459053,1.04878891,0.13781302,0.22453676,0.10316357,0.27727697
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.95256034,138.14113844,152.56316056,134.92998354,27.34679449,28.6951082,28.8428743,28.1757558,29.22049712,27.01878303,31.01117552,25.55725385,-10.27542172,-8.71412617,2.39023212,-13.74840166,15.435544,17.85403731,16.1280947,12.20393651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61279643,0.73224304,0.70839439,0.99748879,0.1555672,0.14998296,0.1292217,0.19618048,0.20223861,0.10166277,0.14195943,0.13800765,0.70937345,0.62204898,0.90387509,0.79168838,0.39112231,0.35313559,0.21099701,0.27929425
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.26847305,129.17891485,135.1135827,143.06907123,27.12345027,25.86075991,28.16050306,27.90242309,26.56287836,25.38502893,26.61012395,27.1800567,-6.12702452,2.08322231,-16.49974355,-18.01280288,17.89802239,18.60047122,18.67106148,18.33032464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53882386,0.9662928,0.71273267,0.89278096,0.14985382,0.17317456,0.11676711,0.13774332,0.16264389,0.11664472,0.14073908,0.16030409,0.74544177,0.84348413,0.58173133,1.03176974,0.17231347,0.19496664,0.18104585,0.10668789
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.13283284,133.58611007,139.82340268,139.63120977,28.09052746,28.34755706,27.11247863,26.15578358,26.54332971,28.15533443,27.74126471,26.70679184,-32.54816784,-28.10514327,-19.61489058,-7.71822741,15.10252875,20.50886373,16.63359335,12.14354906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34113428,0.58091181,1.72552158,1.02978715,0.10780412,0.14186378,0.18861757,0.12629483,0.1927429,0.13422388,0.25779386,0.16346977,0.43736759,0.76555073,0.89489374,0.85865668,0.16492209,0.16518834,0.17603947,0.30587775
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.6040706,121.75316371,134.02836523,142.74210361,26.63387332,26.5991421,25.29970525,26.96396699,27.89201337,24.48364071,27.21111359,30.20821324,-20.67010753,-22.81957615,-6.25010958,-6.40576103,14.24512402,13.42947042,11.85378876,13.21165757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63928526,1.0014828,0.55052053,1.07949468,0.1080402,0.13660574,0.18606082,0.13105431,0.10088951,0.1795119,0.0973724,0.11583815,0.49024387,0.45391122,0.3694812,0.80276484,0.11828687,0.18049117,0.17960272,0.18002643
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.91678181,137.48941355,156.5107773,146.05193374,25.93668022,26.96437923,30.57105854,27.55553864,27.38074608,27.24247701,29.02555621,28.51709074,1.67069067,-11.89672221,-4.38290605,0.3159442,17.69041179,17.30255102,18.7025878,13.29455556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17701448,0.65165337,0.81698544,1.19408154,0.13620149,0.19371711,0.12597603,0.25824644,0.16801123,0.14639492,0.19304191,0.1072576,0.74914636,0.59094144,0.64733647,0.69498012,0.11477384,0.17768994,0.20863294,0.15634284
