,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,C1err,C2err,C3err,C4err,C5err,C6err,C7err,C8err,C9err,C10err,C11err,C12err,H1err,H2err,H3err,H4err,H5err,H6err,H7err,H8err,H9err,H10err,H11err,H12err
0,23.91958935,39.13421007,30.12750331,35.87862747,14.1555373,45.35153972,27.01837597,41.90228013,33.09979444,19.15964597,42.1224605,44.47780836,23.44276781,23.67603543,23.26177908,24.50908404,23.35509405,25.16943034,24.3914026,25.06330694,22.76064772,22.07501668,22.66638105,24.19358246,0.72111138,0.40896164,0.67535191,0.97700537,0.78130673,0.4432743,0.38844281,0.8960357,0.80250596,0.82151521,0.93079301,0.45987987,0.06281227,0.04908445,0.06872936,0.0722554,0.13020494,0.05219993,0.05081348,0.0706428,0.04681277,0.04519153,0.07909669,0.05163258
1,33.18175018,22.69066214,29.04476551,39.7298145,26.94774713,31.81034344,46.39593382,30.46797191,36.36981767,29.3205987,24.0195247,39.46594568,23.42823748,22.9935917,22.76325229,23.39108435,24.63288327,24.2802185,24.52508802,24.21875591,23.46031391,23.72479441,23.5806032,23.51029239,0.49353105,0.65421942,0.29724613,0.53083945,0.59297507,0.45851575,0.36763987,0.4124441,0.47909767,0.58969724,0.40534551,0.26178029,0.08047715,0.05258511,0.07849906,0.05574638,0.06422689,0.056966,0.04030666,0.05277153,0.03004263,0.03331881,0.05978107,0.05430635
2,42.33334604,42.17366032,49.55867503,22.11530153,33.31501808,27.4079814,36.57734956,32.97798822,42.73503318,47.48723646,27.02443474,23.01743879,24.53095593,24.49075364,25.46214482,22.55451179,24.358054,24.61626945,24.69270364,24.83846171,24.59746614,24.37488598,21.92682674,23.05008431,0.46803612,0.61044562,0.97273056,0.53739519,0.54145306,0.54499847,0.646036,0.51209573,0.52055497,0.63071835,0.82436393,0.5858815,0.03627683,0.04576678,0.06456274,0.06644455,0.04979246,0.0842203,0.0543342,0.03721357,0.0471814,0.04117101,0.04111785,0.05454352
3,28.02038643,35.88908209,30.02215267,26.12402829,49.04447834,41.7139059,39.35156082,23.09970881,26.83965763,41.95363741,46.49653677,34.33204618,22.29724106,23.28383573,22.45436863,22.79507924,26.50590305,25.32119174,24.35533619,23.10241715,23.53191191,23.34193813,24.19368277,23.65208246,0.55851817,0.43422721,0.47082332,0.60058695,0.47270846,0.36865476,0.34382619,0.61303283,0.47973538,0.42471192,0.53679785,0.41181009,0.08072989,0.0537939,0.06396251,0.03806617,0.04925361,0.04255477,0.03809636,0.08850585,0.05564215,0.04263427,0.03976867,0.06598318
4,41.83828604,34.07017494,15.61177022,49.95631333,27.51656489,42.89022499,33.54984572,52.47768168,38.61219166,32.0510818,37.59236585,49.74932403,25.36976605,24.12634382,23.19341484,24.39728955,24.10479566,23.90925214,25.64601616,24.40460747,23.89391827,22.26969589,23.79192766,24.84591511,0.47750124,0.66256112,0.74287496,0.47407776,1.02870277,0.42835378,0.50927183,0.82289888,0.46502713,0.61564608,1.03398417,0.45376929,0.05217017,0.05609731,0.04437336,0.05715444,0.1020472,0.06020178,0.05175263,0.05625542,0.04672292,0.05753395,0.04559785,0.05521127
5,37.77068342,24.32473711,34.42438634,27.33719216,28.09301207,39.87891486,29.30322947,36.55294742,48.84214547,26.22388727,40.1925335,28.25309193,23.55016173,22.3387578,23.15367848,23.71946674,25.61221384,25.79311779,23.64044758,24.15513536,24.37735015,24.28124167,23.88839966,22.2741815,0.59349434,0.6096154,0.37385117,0.38817842,0.70690046,0.52088092,0.36207464,0.47519546,0.6917188,0.6060912,0.47595225,0.51937232,0.04660236,0.07137604,0.04222792,0.06418138,0.05225195,0.04444207,0.04308598,0.06864547,0.03923471,0.06370836,0.05590452,0.05953826
6,33.88225195,31.03123993,47.46314058,28.71205766,34.96404845,34.59236798,49.10666902,40.16286046,31.86262628,33.8427046,35.86374333,36.00409189,23.92674788,23.99177925,23.75657355,23.07129907,25.19673799,24.22921388,25.78797167,25.23143795,22.50262067,23.0227192,23.03899836,22.64399514,0.42880047,0.43112537,0.66290866,0.83595754,0.4322217,0.28104083,0.6031961,0.53542751,0.42242919,0.6124734,0.74739581,0.64215332,0.05038403,0.03422039,0.08021105,0.04713704,0.04997568,0.03652208,0.05272968,0.08102664,0.0537273,0.04476572,0.05710048,0.04914658
7,29.31047508,29.35126265,27.13328026,34.39241179,38.2260265,28.33901747,31.22705494,27.43977387,29.36414481,38.92100668,37.06012521,47.95413462,22.88614342,23.4607995,23.58596205,24.07031864,23.36694096,24.37261793,24.54508321,23.01427342,24.63652261,24.08859664,24.18981972,24.31198176,0.61196305,0.74252627,0.47598495,0.39209071,0.51692146,0.57835771,0.563015,0.55675038,0.77481709,0.85506412,0.6026467,0.47671966,0.04848266,0.05219258,0.06486402,0.05311498,0.06433536,0.05285266,0.05460813,0.04067164,0.04061629,0.04181883,0.06779,0.037496
8,30.60013624,39.20219234,22.21955824,40.71662818,35.83366336,50.16682035,26.01813763,52.43530272,39.62986038,27.21062804,35.41545832,26.37810839,24.16310939,23.85269028,23.96699273,23.50521926,25.13861414,25.52490724,23.53279381,25.0888237,23.35005397,22.45734701,22.39040998,23.4578323,0.35218192,0.33153949,0.67401496,0.66499139,0.39950592,0.24715302,0.70732742,0.53589341,0.39026752,0.35742281,0.53861159,0.72764888,0.0659204,0.0509864,0.06043643,0.05463936,0.03877597,0.03719161,0.08419092,0.07643129,0.03531221,0.06815829,0.05303853,0.06884581
9,30.15545391,37.02109179,30.74303486,37.06387777,35.37562386,37.95220702,38.61105631,21.84772649,48.21333997,43.68098991,32.53085635,33.31909807,23.07110807,24.65379702,23.31353671,22.65967985,25.03679107,24.17810244,24.45990746,23.22831504,24.29970228,24.79535863,24.26352238,23.53069061,1.1909922,0.43269409,0.64165649,0.56158901,0.46325131,0.35948498,0.45923987,0.75321272,0.86128865,0.55079713,0.91636139,0.48746762,0.06224843,0.04322663,0.06296942,0.06008456,0.03861192,0.06387877,0.06901707,0.06175899,0.08578212,0.06201947,0.06399824,0.05037276
