,O1,O2,O3,O4,O5,O6,O7,O8,C1,C2,C3,C4,H1,H2,H3,H4,H5,H6,H7,H8,C5,C6,C7,C8,H9,H10,H11,H12
0,-68.97761673,51.40089904,93.18440395,135.80425711,-131.01994847,-120.51171804,54.88930467,-260.70193782,113.37727651,97.86785308,111.30277696,132.73791121,26.60838744,27.34178799,24.28078302,27.80217991,29.02379692,22.95243166,26.04789195,28.50141371,6.17311399,-11.99416567,-24.67318868,-2.06383253,11.0478665,14.16311531,13.89369845,28.2944931
1,-45.53269678,-2.80714799,56.31970242,68.3403504,-91.96824136,-46.37950984,-46.28892268,79.76307224,132.71017563,113.59778189,158.56292472,137.56183782,29.44255866,26.43342217,29.02951298,25.47265933,29.85898334,27.26973066,27.82940407,27.70648477,-6.13050902,-1.51117787,-25.03416726,-24.90660564,13.62060021,21.30284512,10.90789161,8.52018865
2,101.1203315,6.75353163,42.31524198,128.80189748,-152.27215265,-90.81148723,-185.04755782,-29.18064666,144.45943752,119.76404115,99.58091823,122.15618458,26.09206814,26.51871367,27.29678107,27.76221145,27.70322244,26.6107303,27.08631931,23.72473496,-14.40200848,-11.28011649,-2.8375173,-14.76032622,16.80187926,16.09057448,19.53410082,22.35578198
3,134.24946358,147.36766862,159.45296787,53.22573651,-73.96399922,-25.50375779,-76.7524972,-120.63671121,125.87473251,130.38212026,158.48532931,123.34928805,25.78328671,26.72713996,27.9208989,29.28876951,24.36189517,28.04907123,27.1813231,24.77778614,-25.55895304,-16.06861472,-11.50280891,0.62952422,21.72872858,27.64554868,19.59880131,14.50820886
4,32.95919881,17.51560582,93.1882733,58.00746889,-211.05363575,-95.84870581,-72.53769353,-158.7631804,94.09448755,118.60437677,148.70072516,96.83614638,24.34703018,25.64431827,25.23447376,23.73403379,23.82443149,28.96479928,26.29211874,27.89564756,-18.94229001,-9.85294012,-12.20348579,-5.29863587,9.84897884,11.89130651,17.84767658,23.63720173
5,-7.50553203,82.07079107,30.3281741,8.82408983,-58.75739523,-132.96233207,-185.71973337,-75.25386718,129.05038086,134.86572216,144.28787143,109.84989588,26.70747319,27.8801618,29.06743143,27.03216106,29.41038337,26.88163391,30.71007589,24.00245591,-8.96135374,-12.00334186,-5.96237429,-22.92015677,15.43743315,19.78745933,15.47325557,7.57408198
6,85.02083901,94.36650285,46.32115311,78.46963911,-272.49899216,-225.72268115,-28.64938653,-19.2147455,106.25226584,100.0538365,123.99567206,144.13072127,26.23034548,24.02397894,28.02831418,28.0122403,24.83089141,22.89049914,25.92648494,25.94680388,-18.27862612,-10.48298142,-10.00117115,-19.60282057,17.29099418,19.67892918,19.90802161,20.37181308
7,97.53592566,129.26904508,119.22384858,-0.74297613,47.69514454,-19.23310505,-109.84997545,-71.77368589,124.24652317,124.87817447,89.35119428,124.49460806,27.0780269,25.93386286,27.68354399,25.49651066,25.66127603,28.10880406,28.00765142,24.5520659,-23.8717296,-22.50214734,-17.03849751,-16.20476525,15.71812463,26.27342217,22.03596165,9.64374485
8,39.01059576,63.08656794,11.61252456,9.56949412,-75.91466318,-98.54968948,-214.87635661,-194.3798938,121.23238593,72.06818331,96.94383005,125.74372469,25.91383688,25.24296819,23.33263859,26.43038619,26.62979057,21.40572764,25.72597323,28.3990212,-27.35224843,-22.96018282,-21.43604122,-18.99048631,12.86467008,10.65308871,7.44951988,10.15926118
9,53.00355479,78.91520059,-71.11474213,-61.2962131,-228.576751,-103.7152809,-98.59587087,-140.89876644,104.81006616,111.2132117,149.18613159,124.42262776,25.83739956,25.30675636,29.62819314,28.10293607,28.35219734,26.3904351,29.60450302,28.13543681,-8.3010349,-18.22744054,-14.93879921,-3.79612893,18.33145764,19.83222954,18.84523384,9.18020227
