,O1,O2,O3,O4,C1,C2,C3,C4,H1,H2,H3,H4,H5,H6,O5,O6,O7,O8,C5,C6,C7,C8,H7,H8,H9,H10,H11,H12,O1err,O2err,O3err,O4err,C1err,C2err,C3err,C4err,H1err,H2err,H3err,H4err,H5err,H6err,O5err,O6err,O7err,O8err,C5err,C6err,C7err,C8err,H7err,H8err,H9err,H10err,H11err,H12err
0,0.0,0.0,0.0,0.0,-11.37463962,-1.23847299,138.69935148,130.71562965,14.11659134,15.04830343,29.35485482,25.7670192,27.64178266,21.23187427,0.0,0.0,0.0,0.0,-19.90395095,-11.17596623,150.57083643,125.241895,13.52955399,13.76456672,30.14099742,24.82272448,28.60816929,27.13754703,0.0,0.0,0.0,0.0,0.44282708,0.68853071,0.8482517,1.62059926,0.15361166,0.1666406,0.14178529,0.1955138,0.14804018,0.60371373,0.0,0.0,0.0,0.0,0.72067179,0.66699954,0.55122444,1.03447632,0.11169994,0.18264005,0.13951347,0.17221152,0.12975416,0.12335641
1,0.0,0.0,0.0,0.0,-13.51055082,-19.18974729,127.13340496,152.52017547,18.34557117,16.39125379,25.48589887,29.83197494,24.99063887,27.508984,0.0,0.0,0.0,0.0,-12.15370748,-18.76036114,148.97196134,133.57964912,16.59991289,17.60312099,27.19308273,27.99587534,25.73139425,25.64757816,0.0,0.0,0.0,0.0,0.92926982,0.57025628,0.76984826,0.74391186,0.18844434,0.2045072,0.11805094,0.15306137,0.2388518,0.31897634,0.0,0.0,0.0,0.0,0.7818585,0.61162003,0.68599687,0.49684697,0.18902792,0.20704644,0.105895,0.18259486,0.10268291,0.15042893
2,0.0,0.0,0.0,0.0,-18.42771066,-19.79594009,148.20417747,136.22542842,9.1115649,13.6857593,30.59166723,26.57943458,23.38781168,25.79032373,0.0,0.0,0.0,0.0,-1.10300872,-24.70892454,133.48584849,145.8871977,15.95468346,14.25602794,24.67835914,26.54107924,29.26148677,31.68287164,0.0,0.0,0.0,0.0,0.77028865,0.98038017,1.03650298,1.19030762,0.17885232,0.24601659,0.16808072,0.18488512,0.4382392,0.57498438,0.0,0.0,0.0,0.0,1.02719549,0.89915459,0.84315543,0.88465174,0.27238849,0.19713663,0.26271278,0.12360228,0.12370959,0.22968063
3,0.0,0.0,0.0,0.0,-8.7179129,-6.55725396,135.23759633,143.27097734,9.92494819,16.8788401,26.48602471,30.24563352,30.4172963,25.58689775,0.0,0.0,0.0,0.0,-8.37243101,-19.30095467,147.36535551,141.24124858,11.70679764,15.23482654,28.74633217,29.98147277,28.10566263,27.99101459,0.0,0.0,0.0,0.0,0.60725783,1.235752,0.81712319,0.73636676,0.1742609,0.17095931,0.20188527,0.09984277,0.23556062,0.4372907,0.0,0.0,0.0,0.0,0.53876061,0.71153935,0.48516765,0.70390396,0.17963704,0.20180333,0.17531645,0.21555153,0.12051426,0.07346824
4,0.0,0.0,0.0,0.0,-13.9030232,-13.08079567,145.37421265,132.76767902,12.03193827,15.86270282,31.40717297,24.84173439,25.37931361,23.93099738,0.0,0.0,0.0,0.0,-33.97845052,0.8258391,140.92187387,149.29298091,12.39311901,16.70200483,25.80974833,27.96066748,29.07054943,27.17039051,0.0,0.0,0.0,0.0,0.47213407,0.78034273,0.71419363,1.15772617,0.16140163,0.33610163,0.19704961,0.17675463,0.25257274,0.4417458,0.0,0.0,0.0,0.0,0.93207737,0.68856589,0.64209544,0.79832236,0.1475483,0.16440518,0.23909488,0.1115014,0.10665528,0.11208306
5,0.0,0.0,0.0,0.0,-18.76594234,-14.61569002,137.48848072,166.60292589,17.59496962,20.66667164,25.35311805,29.99446239,28.71419815,30.73783553,0.0,0.0,0.0,0.0,-3.76551354,-16.22580106,130.24552586,140.40342178,9.94928223,13.0672022,22.91830522,24.24721333,27.61563853,25.74630542,0.0,0.0,0.0,0.0,0.85402467,0.75343919,1.04696013,1.28288733,0.26001577,0.52809984,0.20799384,0.27893604,0.13345798,0.48471165,0.0,0.0,0.0,0.0,0.97242042,1.07231198,1.09297774,1.27344044,0.210697,0.25810662,0.37997715,0.18632042,0.09517151,0.1908542
6,0.0,0.0,0.0,0.0,-3.76687324,5.97817136,138.71634386,139.47999234,19.29049297,17.76923833,30.61579291,27.09343046,25.40022915,27.98719987,0.0,0.0,0.0,0.0,-7.16237164,-18.42131021,146.76629221,138.69128064,11.52089576,15.18014198,25.88804737,30.25262309,29.61928446,27.81227157,0.0,0.0,0.0,0.0,0.65829988,0.85497228,0.56997302,1.16757141,0.15544523,0.15689428,0.21123792,0.1172486,0.16861859,0.35444494,0.0,0.0,0.0,0.0,0.82375613,0.84241979,0.62545288,0.84178014,0.13651648,0.1328617,0.13292635,0.16712201,0.09340391,0.14968235
7,0.0,0.0,0.0,0.0,-13.00935319,-11.03727525,148.04274719,146.33377317,16.76757051,16.42701903,30.22376714,27.3199489,30.4190025,26.3311895,0.0,0.0,0.0,0.0,-18.19729556,-4.06708475,127.56764467,127.62715593,13.14631293,10.79811289,24.24179072,27.64388672,25.65536083,27.70117589,0.0,0.0,0.0,0.0,0.68268912,0.74740099,0.78149637,1.28003816,0.42148351,0.33637062,0.24410529,0.15989606,0.27432496,0.33340525,0.0,0.0,0.0,0.0,0.90648247,0.74706327,1.05062966,1.2766739,0.17787487,0.26710006,0.2817212,0.23494243,0.07757659,0.11351104
8,0.0,0.0,0.0,0.0,-28.98667699,-22.73036593,126.52301889,137.73865823,12.9644597,16.97103901,27.74845023,27.15709227,25.87147038,26.39166534,0.0,0.0,0.0,0.0,-23.36426286,-22.43969159,153.87171138,131.07111063,12.03844274,16.24875425,29.85379211,27.24437148,32.68859609,26.32693066,0.0,0.0,0.0,0.0,0.73399463,0.5054521,0.76086798,0.6508206,0.1902697,0.1743442,0.12039191,0.17685337,0.16627104,0.16909443,0.0,0.0,0.0,0.0,0.87670422,0.72106539,0.95241604,0.83119557,0.18450819,0.16744686,0.1654788,0.22805731,0.21865845,0.15127367
9,0.0,0.0,0.0,0.0,-14.77937872,-19.94245293,132.32069644,145.34938794,15.20515165,15.48423693,26.51108165,27.37474859,26.21951961,30.12761378,0.0,0.0,0.0,0.0,-15.16156853,-10.47464043,120.20104794,150.25310861,17.065275,10.43724749,23.94340885,26.96166379,25.68279309,25.32111029,0.0,0.0,0.0,0.0,1.24605929,0.71588572,0.44402561,0.51089095,0.33042403,0.40401667,0.08048166,0.20091956,0.17124963,0.23889058,0.0,0.0,0.0,0.0,0.6275633,0.64509906,0.9675241,0.89186886,0.19656429,0.17942765,0.2100596,0.10266898,0.09952494,0.15034223
