,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,C1err,C2err,C3err,C4err,C5err,C6err,C7err,C8err,C9err,C10err,C11err,C12err,H1err,H2err,H3err,H4err,H5err,H6err,H7err,H8err,H9err,H10err,H11err,H12err
0,26.17879648,32.5643068,35.48231169,42.82405799,33.91772878,34.10712722,41.19485722,42.10015148,43.10209312,38.22565381,34.39154618,46.69340607,23.01239061,23.38412277,23.07428543,23.26409279,25.2564378,24.69159426,26.98692819,25.43124809,24.02949336,23.06308171,24.10104363,23.55826503,0.34857296,0.53343379,0.5836006,0.3677782,0.36088976,0.37370125,0.74986521,0.341116,0.47501862,0.47514346,0.43371699,0.70144522,0.03776193,0.06329154,0.06417507,0.04557683,0.04633654,0.04321651,0.0594536,0.04596826,0.06115771,0.05165763,0.04784241,0.05913008
1,21.77911985,47.70725763,45.49963491,33.09815512,52.98170166,33.95131353,33.84352026,37.79181233,18.40582826,42.09924683,45.81401051,40.15846725,22.11872173,24.15013146,23.45293116,23.95818119,25.50688525,24.13742917,24.60162064,25.17170646,23.20516713,22.50029623,24.71197629,23.52246584,0.55199834,0.28878833,0.60682511,0.49771888,0.77788574,0.61312543,0.43604525,0.41014309,0.80661037,0.64468372,0.50071586,0.53831971,0.08226449,0.05787153,0.06068865,0.05294077,0.06261034,0.04547836,0.07974636,0.05352071,0.04833611,0.06262847,0.04368939,0.04254019
2,36.51703055,48.09485553,25.46428222,24.99269009,44.15601081,45.63297785,42.61229661,38.69854009,34.69995579,45.43668872,38.91492582,30.25653933,24.17514554,24.59146019,22.72506739,22.87783824,24.90008482,25.26910655,24.82545055,24.84201228,23.91844928,25.16100556,24.45191401,23.16961975,0.28531904,0.56121519,0.54955941,0.63476527,0.4565081,0.3565858,0.46358885,0.35833611,0.3732281,0.50556669,0.6353129,0.58272242,0.0354712,0.04890359,0.05789501,0.06044338,0.04925896,0.05345059,0.0515844,0.05618167,0.05440228,0.04244753,0.04941562,0.03967106
3,31.77175184,36.80353327,15.97380393,56.17747216,21.31559703,38.83008567,40.63425718,46.58957637,41.62255888,39.02664209,35.66357768,34.55852773,24.44464318,23.69935779,22.47390667,25.47426573,24.1513388,25.70566691,25.43222948,26.25563533,22.85905771,23.70567846,23.47229456,22.02029249,0.6965443,0.61432311,0.63329613,0.75985373,1.14800148,0.39112574,0.51993826,0.45837474,0.70287184,0.99052165,0.37451041,0.88867621,0.05406471,0.06658961,0.05738057,0.05300017,0.08262244,0.05476366,0.07596158,0.05708335,0.04689786,0.06697837,0.05648951,0.06791186
4,28.65936967,38.91286266,36.75223584,27.9066258,23.39489879,41.41320975,31.08372861,29.25277723,40.45963658,52.38441109,39.6853851,30.76508559,23.85693594,23.72414108,22.95061513,23.05260622,24.04605121,25.46866909,24.39914249,24.41280481,23.32226727,23.58058491,25.44473453,23.36642621,0.45248337,0.42390979,0.45234567,0.47431929,0.65452482,0.48833258,0.35110453,0.54599891,0.93242481,0.83598787,0.86593712,0.53221869,0.05297254,0.03708287,0.03547752,0.05465523,0.04256858,0.05288792,0.05507011,0.04542802,0.06972454,0.05187248,0.0913519,0.0552643
5,19.67665597,47.91726113,47.20119692,39.50716289,17.81036316,40.47075523,52.98081279,40.04374087,33.56151642,29.53469266,38.76988387,48.67240642,24.15066656,23.36801339,26.31505379,23.79677056,24.22118745,24.59754887,25.03707027,25.33900017,24.77127614,23.96672794,23.96358096,23.92281858,0.52061319,0.5498884,1.11088683,0.66139659,0.77870252,0.56335611,1.0429483,0.93006355,1.0723291,0.60971365,0.80187753,0.77031558,0.06402375,0.05070838,0.06907231,0.06854976,0.04727185,0.04249682,0.07992901,0.05923161,0.08651119,0.06133974,0.05961763,0.03910396
6,37.74081639,12.20097783,36.60373254,40.39452099,53.65349832,26.13602601,36.47464069,34.37114401,35.16006092,40.91719662,33.28534109,40.71996336,23.49382299,22.78334687,24.08459194,24.23029877,25.18544588,24.28992102,24.19749596,24.51772669,23.08129168,23.529952,23.06584569,23.9314418,0.52730927,0.56071088,0.48874716,0.50294274,0.35632297,0.55199129,0.40793875,0.56183106,0.87394799,0.47710898,0.5013816,0.37488582,0.05189296,0.04950314,0.05159069,0.04762391,0.04711224,0.07125691,0.05320799,0.0437199,0.08150646,0.0378641,0.03907367,0.04689138
7,39.14955799,34.48637881,35.08814717,50.79608404,34.05747152,40.43386735,31.09011001,36.26335789,35.20669803,23.09070253,35.87503376,31.01673188,24.0612813,23.70840556,22.2920517,24.14567423,25.08574244,24.06741819,24.58376025,26.10404859,24.85107809,23.56938367,23.16113757,23.52338519,0.47679399,0.62470746,0.53018997,0.89442308,0.63572175,0.53833697,0.58026484,1.07577543,0.51915918,0.40512589,0.69395925,1.01133434,0.05043867,0.04899577,0.07060261,0.05984063,0.04146057,0.07509602,0.06407104,0.04813499,0.0590205,0.02590021,0.0436894,0.05160265
8,26.03614779,22.02239132,26.51282617,45.44414382,33.35431106,43.53870149,26.69420985,53.36995952,47.52736002,36.34625489,46.6892054,44.97176819,23.00017269,22.59603619,23.15947217,24.11629845,24.06506331,24.79475319,25.23962925,25.78800389,23.88936873,24.33217465,23.23879034,23.92306168,0.86001689,0.56241794,0.51006948,0.52862538,0.73764026,0.54274477,0.44409321,0.3893176,0.78402142,0.77247721,0.47029436,0.43809795,0.04120545,0.06034551,0.04826155,0.04185234,0.06094288,0.03707808,0.03664802,0.04567646,0.0546936,0.08335754,0.04262148,0.04192319
9,34.55203525,30.85815806,37.17186694,50.76318193,31.22589996,43.27838472,33.79936995,41.34870406,44.91015129,24.20738007,52.56817542,44.53556613,23.53946999,23.37692593,23.94534038,25.68258034,24.54589511,23.93959639,24.59178064,24.90662517,25.45014278,23.24382378,26.76451862,24.48817944,0.6492754,0.47699795,0.36226963,0.64949058,0.44658891,0.63802239,0.68597885,1.12844301,1.162368,0.42217863,0.88362194,0.60812581,0.05541858,0.06532217,0.03517593,0.07742225,0.05856919,0.07267259,0.06168028,0.04520706,0.11634658,0.06094153,0.08842608,0.0557397
10,45.83274099,35.96215975,23.04869904,30.76208104,33.95999365,37.39011203,36.56479123,42.83571858,34.49602444,48.64151563,45.85499125,41.91566579,24.60847663,23.48878364,23.07027451,23.21421789,25.27075406,25.34889512,25.99468229,24.97585352,22.40580459,23.08607162,24.26998616,25.05471411,0.49117831,0.50359606,0.71572209,0.38581252,0.63423809,0.47294343,0.32032598,0.22064993,0.58450372,0.7728049,0.51656325,0.52587843,0.03561944,0.05344128,0.0588018,0.04647126,0.05410017,0.06400638,0.06130014,0.05498663,0.08231314,0.05129395,0.03933827,0.04799337
