,O1,O2,O3,O4,C1,C2,C3,C4,H1,H2,H3,H4,H5,H6,O5,O6,O7,O8,C5,C6,C7,C8,H7,H8,H9,H10,H11,H12,O1err,O2err,O3err,O4err,C1err,C2err,C3err,C4err,H1err,H2err,H3err,H4err,H5err,H6err,O5err,O6err,O7err,O8err,C5err,C6err,C7err,C8err,H7err,H8err,H9err,H10err,H11err,H12err
0,0.0,0.0,0.0,0.0,-15.97394447,-18.9432886,132.00619336,133.93394381,14.09461217,17.07952513,28.25178828,25.52773937,22.26697403,27.01397374,0.0,0.0,0.0,0.0,-14.87508283,-6.13934366,130.07142766,136.96711977,13.39299276,13.46258747,26.57775342,27.83135764,26.78593753,28.28531923,0.0,0.0,0.0,0.0,0.72494509,1.22673003,0.83058168,1.25445973,0.15057244,0.23526556,0.24367305,0.10446172,0.23795804,0.10489113,0.0,0.0,0.0,0.0,0.50591862,0.98093323,0.86949931,0.59286086,0.15428667,0.19522122,0.15992132,0.16086384,0.10768602,0.12811213
1,0.0,0.0,0.0,0.0,-26.14623177,-30.52941299,141.67382891,139.52907964,16.61254243,17.05076565,28.15118715,27.93247406,28.77853989,26.70326198,0.0,0.0,0.0,0.0,-23.41604,-35.47266006,140.05954051,124.71686504,10.11173179,12.60209179,25.81543823,24.46309026,26.07728155,26.35191301,0.0,0.0,0.0,0.0,0.67451733,1.66159203,0.762644,0.56286104,0.16979989,0.18994973,0.11519039,0.14984326,0.13502185,0.10734501,0.0,0.0,0.0,0.0,0.60964688,0.77234286,0.75074202,0.70897596,0.20623538,0.38800195,0.13503305,0.18201722,0.10904436,0.0904532
2,0.0,0.0,0.0,0.0,-30.99364014,-32.61538985,141.75451887,138.74547693,9.28522188,13.03536738,28.67648239,28.17579123,27.11760587,26.57751742,0.0,0.0,0.0,0.0,-22.51618401,-25.73380901,152.17626922,158.28501022,16.89224039,14.32506252,28.69058503,30.51844297,29.01263949,28.54273256,0.0,0.0,0.0,0.0,0.64315722,1.54980891,0.56002019,0.93268475,0.1863476,0.1829147,0.12233662,0.12397057,0.11149197,0.10893466,0.0,0.0,0.0,0.0,0.4831849,0.49691081,1.02633756,0.48937482,0.13651864,0.20295539,0.15059839,0.15111333,0.15072367,0.13384608
3,0.0,0.0,0.0,0.0,-21.99008413,-30.43468564,140.92729271,127.8083026,12.06605112,11.726639,28.80919043,25.5998647,30.20775713,25.31527412,0.0,0.0,0.0,0.0,-24.22546927,-16.38743769,132.99134338,132.21945725,15.03135659,11.68592897,24.68352378,26.89608937,25.78630911,23.83291047,0.0,0.0,0.0,0.0,0.73860253,1.17917204,0.55715499,0.7380433,0.1907521,0.29241265,0.11583596,0.15243847,0.18346982,0.13549853,0.0,0.0,0.0,0.0,0.42212902,0.69281513,0.64489928,0.7879959,0.11278209,0.17748358,0.12756916,0.11498085,0.10119903,0.12243395
4,0.0,0.0,0.0,0.0,-24.52411906,-27.56899574,148.88988035,146.42596494,10.05268312,10.90707427,27.86053399,29.83511213,28.37712299,26.81562113,0.0,0.0,0.0,0.0,-12.27011959,-6.16514224,141.21741078,129.5101417,18.59737553,16.35911549,29.87660316,24.77963667,29.15135388,27.51136685,0.0,0.0,0.0,0.0,0.70496605,0.83356651,0.74840704,0.63031601,0.20288602,0.2773567,0.14575592,0.17354949,0.17878802,0.11289229,0.0,0.0,0.0,0.0,0.37845645,0.819335,0.61923101,0.76883567,0.1676686,0.18716957,0.16290912,0.17086258,0.08293362,0.09262851
5,0.0,0.0,0.0,0.0,-21.82400113,-26.27149429,134.27582077,141.45353153,9.10432325,10.35454414,26.67024625,28.35781759,24.794236,27.4656743,0.0,0.0,0.0,0.0,-18.20292799,-16.73553624,142.68673111,145.87872198,15.21074058,10.84983919,28.91828265,29.79569656,25.73149847,25.07581573,0.0,0.0,0.0,0.0,1.13193512,0.55326109,0.59509481,0.42923521,0.23014727,0.18231819,0.11419572,0.08917742,0.14873089,0.08641556,0.0,0.0,0.0,0.0,0.39019849,0.73497369,0.5684735,0.88633411,0.09842168,0.17487575,0.1951364,0.22293484,0.09900364,0.08809258
6,0.0,0.0,0.0,0.0,-24.59722647,-20.53328844,140.53056582,145.82066291,12.67279951,14.81391263,27.74135091,29.78607412,25.46082438,27.08935358,0.0,0.0,0.0,0.0,-34.27905459,-18.96827803,141.19398366,145.43249829,16.1898571,11.07569638,28.06971557,26.80559724,27.66111636,27.48245511,0.0,0.0,0.0,0.0,0.59549097,0.97923731,0.60336311,0.47501,0.19829088,0.30182499,0.07077305,0.12859254,0.08533601,0.12286954,0.0,0.0,0.0,0.0,0.50390227,0.59722932,0.67791326,0.67368145,0.10277628,0.28089952,0.15491053,0.12667427,0.08639804,0.09626576
7,0.0,0.0,0.0,0.0,-28.67804113,-30.67274027,125.34085231,149.141418,9.10894156,9.21153066,25.39426685,30.06570027,25.46658475,28.6775272,0.0,0.0,0.0,0.0,-4.05325425,-30.68784318,151.97879583,135.32058324,16.13437468,13.39031755,29.28895041,27.0540824,28.48295701,26.67220715,0.0,0.0,0.0,0.0,1.47327479,1.01500206,1.0580405,0.75133369,0.19550273,0.37601981,0.12709306,0.14020554,0.19327284,0.11022043,0.0,0.0,0.0,0.0,0.53072316,0.71994606,0.46469543,0.74613106,0.15265067,0.23914928,0.2266389,0.20210699,0.20762465,0.10102441
8,0.0,0.0,0.0,0.0,-14.58975862,-26.2280039,132.63130152,137.26105276,9.20296766,11.63981185,27.60066613,27.0716556,27.34497922,26.15932039,0.0,0.0,0.0,0.0,-44.13611635,-17.20476332,136.15453213,118.30782567,14.18473667,12.0355547,26.25137377,26.93665425,27.32429328,26.50361426,0.0,0.0,0.0,0.0,0.7641555,0.82395019,0.69983794,0.47585271,0.08892038,0.19352727,0.17461555,0.2100647,0.14299832,0.1348261,0.0,0.0,0.0,0.0,0.57520912,0.97605534,0.53437188,1.28992986,0.10913672,0.17405237,0.16441734,0.15910199,0.11354035,0.1018642
9,0.0,0.0,0.0,0.0,-29.40826865,-27.96923236,129.64302565,130.56335057,9.92891653,8.93148186,26.1627411,26.84322929,23.23889324,26.14812208,0.0,0.0,0.0,0.0,-27.47585266,-18.23611106,140.08766881,148.73470808,17.34478711,16.99209094,27.60860038,30.53629044,27.38530564,29.20438468,0.0,0.0,0.0,0.0,0.77321186,0.80573406,0.87529555,0.5948372,0.25415002,0.18497872,0.14945128,0.11714895,0.30155357,0.13949628,0.0,0.0,0.0,0.0,0.53897112,0.67600803,0.84655659,0.61473865,0.0908542,0.19641089,0.27467183,0.17472745,0.15750874,0.11080756
