,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,C1err,C2err,C3err,C4err,C5err,C6err,C7err,C8err,C9err,C10err,C11err,C12err,H1err,H2err,H3err,H4err,H5err,H6err,H7err,H8err,H9err,H10err,H11err,H12err
0,38.67542512,18.20406205,40.85711108,20.86712567,37.00473636,37.24123233,39.61454377,31.57487699,37.64797873,24.21861427,50.26572774,22.42027885,24.99767707,22.22296829,24.45026562,23.10605006,24.8447259,24.87757439,24.38000855,23.26910757,24.6092113,22.36452216,24.75691206,23.0557684,0.77856876,0.77307759,0.51781072,0.57953976,1.02316763,0.95866229,0.51467583,0.51393339,0.98765338,0.60504981,0.95178167,0.65318209,0.11507965,0.08260565,0.05759968,0.05721223,0.08473929,0.08103881,0.07351596,0.08462586,0.05288422,0.08829959,0.05738673,0.05353474
1,26.97991476,44.80507133,30.20008564,29.1801244,32.00314304,29.72985086,27.0412254,30.21485463,12.02280806,49.36663942,32.62832512,30.29753583,23.24776145,24.91179268,24.3773599,23.15968253,25.29380369,24.28727394,23.83195172,24.05022223,22.39294231,24.59340527,23.11381413,23.71409567,0.88633379,0.633985,0.44072934,0.72914578,0.70284952,0.5617458,0.59920491,0.52966683,0.61883732,0.80884033,0.52114398,0.69505741,0.05866865,0.07573257,0.05186448,0.0621184,0.04337354,0.04466884,0.0786719,0.06921681,0.03669427,0.05630293,0.08362865,0.0473997
2,48.2974086,38.60364286,18.90969579,40.63622127,42.9287317,49.58395888,34.88673292,33.92152301,54.35321864,33.41316361,21.6426623,34.9609915,24.42527631,23.57116298,22.73724026,23.91587502,24.94693463,25.82716566,24.42647635,24.9265299,24.7608671,22.76933586,23.13108966,24.02245339,0.542711,0.85359905,0.39759188,0.65145013,0.63147285,0.57223148,0.6743273,0.83128251,1.01243148,0.87334188,0.58289874,0.57222863,0.0530636,0.06198485,0.09608332,0.0687064,0.05088318,0.07091401,0.0705318,0.06493838,0.06566061,0.05368003,0.05539775,0.05715282
3,14.01931003,30.21504107,42.03215473,31.37227054,29.20559668,36.69426608,33.45259589,36.14476342,31.80137391,33.52343122,42.43816823,37.26050872,22.07989826,23.6070003,24.48372905,23.58519595,24.91441408,23.95951556,25.11741007,24.46622244,23.38895434,23.85415656,24.40758599,24.09025553,0.74087952,0.49324779,0.45658664,0.40419008,0.78704414,0.63922774,0.36694317,0.43872008,0.66427859,0.68414785,0.34062192,0.26625508,0.09072136,0.05696771,0.05731694,0.08738666,0.05332858,0.06311131,0.06699966,0.08211927,0.08418994,0.07049281,0.05827686,0.04355812
4,41.23651139,28.43940951,42.39388622,34.74555889,33.69153734,29.49373545,52.48711407,31.28687497,25.82863257,28.96912189,39.58401562,42.32890348,24.71461009,23.38547484,24.70278667,24.97900173,25.11037727,23.92869706,26.5500955,23.37530044,22.64260864,22.72960441,23.67597303,23.96927146,0.67449695,0.46140627,0.52710896,0.42443767,0.48547736,0.67267517,0.53584256,0.65403104,0.5222688,0.45339995,0.41740952,0.41928231,0.07082035,0.05500712,0.08382651,0.0550013,0.07643095,0.06669201,0.04160433,0.05988096,0.0859806,0.04522087,0.04688942,0.04924356
5,27.58983708,39.25843945,32.72077627,40.00192345,28.62946755,44.33417415,31.51458725,47.88711688,36.63657353,26.3782415,44.70974965,28.96484653,23.86301253,24.17352592,23.49770576,23.89611823,24.72900147,24.70359175,25.67492687,24.55536539,23.42466031,23.04355131,24.46498615,22.5319255,0.57897438,0.33923312,0.42355964,0.52325917,0.36441063,0.5384446,0.25866738,0.54410299,0.41090878,0.37118407,0.48296653,0.43339151,0.07395921,0.04356254,0.05899854,0.04776629,0.04983463,0.05094486,0.04548044,0.07117395,0.05942567,0.04108209,0.04455869,0.09340637
6,42.28465868,28.02740836,28.73816701,43.39683286,47.54934082,32.99288402,24.40619881,39.72391231,41.46460879,44.86659021,27.89769464,41.65739306,24.16685654,24.09816953,23.38968186,24.2589774,26.89147433,24.18265578,23.93296172,24.97113328,24.0050501,24.18914656,23.08570859,23.50154671,0.75623296,0.42391292,0.34190854,0.62292641,0.72567136,0.577751,0.45053501,0.5056376,0.58136087,0.88156142,0.39500699,0.44552616,0.08004298,0.04558887,0.05907803,0.06187724,0.0724404,0.04950031,0.08394461,0.06475606,0.04664521,0.07153529,0.06224121,0.06580342
7,36.38733793,45.02536146,25.61193307,11.42378291,20.23900029,41.71239467,36.60760325,31.47733219,34.92161794,32.76652885,36.38377992,34.66610746,23.2227559,24.1475448,24.0414061,21.87963046,23.24569099,23.89845494,25.17669064,24.70907265,23.11309742,23.9378237,23.28071101,23.2948381,0.48346834,0.55415762,0.64658096,0.59919821,0.60409647,0.7191099,0.60320543,0.95411944,0.62786471,0.31476594,0.82851747,0.57580648,0.08116858,0.06587537,0.05785817,0.0750606,0.06803401,0.07339713,0.06991226,0.09434653,0.06914885,0.04582301,0.07599858,0.04804701
8,17.99642905,29.54774308,33.11987218,33.25300411,35.82996126,46.99372639,36.99040819,33.96885329,48.47871172,37.50863402,30.07738214,22.46969344,22.90198345,23.23743573,23.22476428,24.54166585,25.27979005,25.32041794,24.6771302,24.43342277,24.95018105,23.2825887,23.78558431,23.29928287,0.7789983,0.33938832,0.53276744,0.69201068,0.44061321,0.59121511,0.43649992,1.03428105,0.9994382,0.56125657,0.67360575,0.60749188,0.07870788,0.06451817,0.06086443,0.05080474,0.07941276,0.06432134,0.0732314,0.04454158,0.07725319,0.06890641,0.05430588,0.04999094
9,49.56862908,23.43912078,34.90707532,45.81959432,42.91114522,26.0827359,32.92538871,34.04517483,31.91368918,26.19490838,43.47251836,40.64808891,25.6498816,23.2692458,24.25145034,25.65536199,24.98111561,23.64963829,25.69875035,23.9875422,23.25634782,22.64537898,23.23180043,23.69398705,0.62141241,0.43807238,0.39636459,0.4606514,0.34008816,0.36878204,0.49451837,0.62994191,0.39590931,0.69772424,0.48437197,0.57665763,0.06519949,0.03394111,0.05858913,0.06097371,0.07172602,0.06957844,0.06907426,0.03932122,0.0447688,0.0606273,0.04222746,0.05223401
