################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.0137686057417191E-02   4.3688047956416121E-01   1.5255972732346804E-01   4.4707136168098092E-02
         1          2   1.6537306353656757E-04   2.3167996562746307E-01   6.9133603961686954E-02   3.3682804260898688E-02
         1          3   5.7105903096049317E-03   3.6734901946307369E-01   1.5822356165209306E-01   4.7345040084922442E-02
         1          4   4.7389851447432241E-02   1.2207726129513401E+00   4.4309916227964929E-01   1.1984568582435771E-01
         1          5   5.9335597216067592E-15   1.2319639012262022E-01   2.4003668480605214E-02   2.5661814777960642E-02
         1          6   2.9796868254413865E-11   1.2310924712658038E-01   6.7273916887222607E-03   1.8449317252187281E-02
         1          7   1.1729502024375045E-02   2.8542079025323885E-01   1.2389876104043174E-01   3.4475643371095280E-02
         1          8   2.3792856641060736E-03   1.6323721336331604E-01   5.3553883229750805E-02   2.1917376839289036E-02
         1          9   3.8665534962649606E-06   8.9804555571901534E-02   2.0602221830633659E-02   1.3558686900406092E-02
         1         10   4.4358781156045440E-03   1.4181214537240761E-01   6.4165365069509789E-02   2.0200392722524652E-02
         1         11   1.6354995180044944E-03   4.1570927935505536E-01   1.0993857902507838E-01   8.3991378112419871E-02
         1         12   2.6638491143963956E-02   4.0767186153186330E-01   1.7860271707981765E-01   4.2529839607343620E-02
         1         13   9.4129057049761843E-03   2.1843346955166332E-01   8.7827775985179657E-02   2.6640800571908190E-02
         1         14   5.4009690084905637E-02   3.8062972189399447E-01   1.7482543071622889E-01   4.0362817561053504E-02
         1         15   2.0001108944577969E-01   1.8451771143618634E+00   7.7998678247634801E-01   1.9290488918172094E-01
         1         16   1.7781306597103631E-02   8.1561399478597063E-01   3.4253148299962410E-01   9.5264943463649582E-02
         1         17   8.0239839451109012E-03   4.0822328272035280E-01   1.4997165105514026E-01   5.4276820471937617E-02
         1         18   2.1545621242487074E-06   1.2177888392798594E-01   5.4273743019036215E-03   5.6574370914969120E-03
         1         19   1.6238373390003136E-01   2.1306303665456374E+00   9.0584304787365433E-01   2.4605102999585979E-01
         1         20   1.9271857243461650E-02   1.1058386412116001E+00   4.1129513555290881E-01   1.3880144675001566E-01
         1         21   1.5681772479262032E-01   8.8874673520771386E-01   4.1631077010741585E-01   8.3845337314783649E-02
         1         22   7.9487636761343142E-02   4.4884334128075176E-01   2.1878864909291285E-01   4.0748128339922460E-02
         1         23   8.4421212567077153E-01   3.8866034914994922E+00   2.0499309083669570E+00   3.8778957234452155E-01
         1         24   2.9366444666334812E-01   1.6673422229257746E+00   7.9250350020125548E-01   1.6573514997534688E-01
         1         25   1.2607292300199535E-01   8.3418454548777710E-01   4.2110660708510594E-01   9.1948030691374805E-02
         1         26   2.3953925901103673E-01   1.6124130800364800E+00   7.5846397798224308E-01   1.7554333829351021E-01
         1         27   1.0258898783794791E-07   1.4484063135995817E-01   2.7882078769320015E-02   3.4718248785820673E-02
         1         28   1.2322963035646538E-01   1.8381739238511319E+00   9.3273535464134494E-01   1.9631195330874632E-01
