################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.1370737753659319E-01 a         1     0     1     1     1
  3.8325991680105892E-01 a         2     0     1     1     2
  1.7163244148546519E-01 a         3     0     1     1     3
 -6.8933374991657886E-02 a         4     0     1     1     4
  3.8663387801120092E-01 a         5     0     1     1     5
 -8.9550393898644040E-02 a         6     0     1     1     6
 -9.8761129333512887E-02 a         7     0     1     1     7
  6.1845391492236883E-02 a         8     0     1     1     8
  8.6759874593917347E-02 a         9     0     1     1     9
 -1.1165316251220503E-01 a        10     0     1     1    10
  2.5000352040438834E-01 a        11     0     1     1    11
 -2.5123771254396843E-01 a        12     0     1     1    12
  2.3843581432616723E-01 a        13     0     1     1    13
  3.0462564067334980E-01 a        14     0     1     1    14
 -7.1713406097740545E-02 a        15     0     1     1    15
 -1.0947523450260838E-01 a        16     0     1     1    16
  4.7918567969199199E-01 a        17     0     1     1    17
 -1.3188076543052554E-01 a        18     0     1     1    18
 -5.7304630671445686E-02 a        19     0     1     1    19
 -1.6829231763858640E-01 a        20     0     1     1    20
 -1.1479396055502866E-01 a        21     0     1     1    21
 -1.8090130919304462E-01 a        22     0     1     1    22
  7.7510285481581509E-02 a        23     0     1     1    23
 -1.1377574845103565E-01 a        24     0     1     1    24
  1.4293428421774304E-01 a        25     0     2     1     1
 -7.7603872567199635E-03 a        26     0     2     1     2
 -1.0109535117291529E-01 a        27     0     2     1     3
 -1.1992495008766352E-01 a        28     0     2     1     4
 -2.8979864380447318E-01 a        29     0     2     1     5
  1.6976662814633911E-01 a        30     0     2     1     6
 -5.4038269674662853E-02 a        31     0     2     1     7
  2.9125029391003521E-01 a        32     0     2     1     8
 -1.2698353988823080E-01 a        33     0     2     1     9
 -1.5258778409924914E-02 a        34     0     2     1    10
 -5.4791839858850139E-02 a        35     0     2     1    11
  3.9123109707228421E-01 a        36     0     2     1    12
  7.1984060749694198E-02 a        37     0     2     1    13
  7.7774980386006970E-02 a        38     0     2     1    14
  1.2565635125515351E-01 a        39     0     2     1    15
 -4.3723429237930031E-02 a        40     0     2     1    16
  2.8415149206602600E-02 a        41     0     2     1    17
  6.9882339814684891E-02 a        42     0     2     1    18
 -1.4696498090115867E-01 a        43     0     2     1    19
  3.6448983096985299E-02 a        44     0     2     1    20
  1.6919138357245261E-01 a        45     0     2     1    21
  2.0857061611339903E-01 a        46     0     2     1    22
 -4.9513003951864323E-02 a        47     0     2     1    23
 -7.7978365377945877E-02 a        48     0     2     1    24
 -7.3411311864554712E-02 a        49     0     3     1     1
  7.8765188784460413E-02 a        50     0     3     1     2
 -2.5405613328700852E-02 a        51     0     3     1     3
 -3.2107281514724174E-02 a        52     0     3     1     4
  8.7010921703964170E-02 a        53     0     3     1     5
 -2.1755300405657113E-01 a        54     0     3     1     6
  2.4860878785785215E-01 a        55     0     3     1     7
 -6.1815378690930081E-02 a        56     0     3     1     8
 -7.0898337577843196E-02 a        57     0     3     1     9
  4.4027833153901985E-01 a        58     0     3     1    10
  7.0450051030092387E-02 a        59     0     3     1    11
  1.4222609403834663E-01 a        60     0     3     1    12
  1.7757498789339374E-01 a        61     0     3     1    13
 -2.3483969821694356E-01 a        62     0     3     1    14
 -4.1604782721148460E-02 a        63     0     3     1    15
  2.4943280872840864E-01 a        64     0     3     1    16
 -1.9571925925592262E-01 a        65     0     3     1    17
 -1.6668833369239694E-01 a        66     0     3     1    18
 -2.3302191295165690E-04 a        67     0     3     1    19
  6.4140685698373640E-02 a        68     0     3     1    20
  1.5065449372421835E-01 a        69     0     3     1    21
 -1.9419590957622498E-01 a        70     0     3     1    22
 -2.7068538704733097E-01 a        71     0     3     1    23
 -1.7137949222550622E-01 a        72     0     3     1    24
  3.7695451826748938E-02 a        73     0     4     1     1
 -1.3905585754320968E-01 a        74     0     4     1     2
  7.1880613238082258E-02 a        75     0     4     1     3
  2.5797516782528427E-03 a        76     0     4     1     4
  7.4408463276810569E-02 a        77     0     4     1     5
 -6.1360786464361314E-02 a        78     0     4     1     6
 -1.3357621717508281E-01 a        79     0     4     1     7
  2.9277533230755930E-02 a        80     0     4     1     8
  1.4472073864432713E-01 a        81     0     4     1     9
  2.9947589197348329E-01 a        82     0     4     1    10
 -2.1874068862303617E-02 a        83     0     4     1    11
  3.9350582818768014E-02 a        84     0     4     1    12
 -1.1396625263348567E-01 a        85     0     4     1    13
  1.5614562525104972E-01 a        86     0     4     1    14
 -9.3297379697058869E-02 a        87     0     4     1    15
  6.3526413082271790E-03 a        88     0     4     1    16
 -2.8956872953022520E-02 a        89     0     4     1    17
 -7.6221168131071063E-02 a        90     0     4     1    18
 -1.1533334679376654E-01 a        91     0     4     1    19
  2.1570202047534304E-01 a        92     0     4     1    20
 -1.8673972135756373E-01 a        93     0     4     1    21
  2.1730930213794807E-03 a        94     0     4     1    22
 -9.1800012009090409E-02 a        95     0     4     1    23
  2.0169906703296236E-01 a        96     0     4     1    24
  1.3250398551517792E-01 a        97     0     5     1     1
