################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.6893645350609899E-03   4.0664021446647713E-01   9.0840760649196675E-02   3.2072009112832915E-02
         1          2   1.9177425916174573E-08   1.7591050002872227E-01   6.4170057027354644E-03   1.6041582560697681E-02
         1          3   2.9589486239571744E-06   3.4342951261379612E-01   9.0614229455490136E-02   2.9940147239396680E-02
         1          4   4.4968080263747796E-04   5.4945205572573041E-01   1.7764928091066348E-01   6.3611241265956117E-02
         1          5   7.2042661175058246E-07   1.5689587500236840E-01   3.4182555430613023E-03   3.1242709345233486E-03
         1          6   4.6911477641531473E-10   1.0770831997000936E-01   1.5509190689113319E-02   2.0183745624433216E-02
         1          7   5.9335597216067355E-15   1.2482584838066701E-01   2.6819385159545062E-02   2.4948651748286362E-02
         1          8   1.1729502024375043E-02   2.9273803866714659E-01   1.2546213680426194E-01   2.8193386638918936E-02
         1          9   2.1689262690051817E-03   1.6768099636163938E-01   5.5729353736487845E-02   2.0450230341021742E-02
         1         10   3.8665534962649606E-06   8.9804555571901562E-02   2.0887013901012347E-02   1.1866815512785381E-02
         1         11   4.0384556096441527E-03   1.4680705353775553E-01   6.9869426866295783E-02   1.8602494435140771E-02
         1         12   1.4632973062391422E-01   1.5489095218501721E+00   6.7102472859173967E-01   1.5203544204480446E-01
         1         13   2.6638491143963973E-02   4.1830584222120210E-01   1.8662924766799929E-01   3.7669811133836294E-02
         1         14   9.4129057049761704E-03   2.1941889304644585E-01   9.4012870046851840E-02   2.4491314954600715E-02
         1         15   5.0988414060761600E-02   3.8260487693404005E-01   1.7477186551910798E-01   3.2866981011784605E-02
         1         16   1.7731295813235792E-01   1.8543004780701664E+00   8.1296430552674204E-01   1.6420325323565388E-01
