################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.7641339549483090E-01 a         1     0     1     1     1
 -8.4025566849115174E-01 a         2     0     1     1     2
 -5.3359260076945147E-01 a         3     0     1     1     3
  2.0048740238350435E-01 a         4     0     1     1     4
  6.5591984181959728E-01 a         5     0     1     1     5
 -3.4385095346808314E-01 a         6     0     1     1     6
 -4.4338724711499367E-01 a         7     0     1     1     7
  1.8680523989599288E-01 a         8     0     1     1     8
  4.6176193500097906E-01 a         9     0     1     1     9
  5.6505408768650556E-01 a        10     0     1     1    10
  1.5044746308942239E-01 a        11     0     1     1    11
 -4.3580579661103663E-01 a        12     0     1     1    12
 -5.3887917039247046E-01 a        13     0     1     1    13
  8.5272025728030026E-02 a        14     0     1     1    14
 -3.7554228091582348E-01 a        15     0     1     1    15
 -5.8789210011256282E-02 a        16     0     1     1    16
  8.1394150234985613E-02 a        17     0     1     1    17
  4.3843002353240718E-01 a        18     0     1     1    18
 -3.5631453514591593E-01 a        19     0     1     1    19
  3.8893523835468463E-01 a        20     0     1     1    20
 -7.4162142169645562E-02 a        21     0     1     1    21
 -4.4024653104367473E-01 a        22     0     1     1    22
  1.1047223134240312E+00 a        23     0     1     1    23
 -8.5912823132823238E-02 a        24     0     1     1    24
  3.9574136202038986E-03 a        25     0     2     1     1
 -2.2588850809743924E-01 a        26     0     2     1     2
 -2.9718071151275860E-01 a        27     0     2     1     3
 -4.5641735200347866E-01 a        28     0     2     1     4
  4.1560287916459976E-01 a        29     0     2     1     5
  4.0325182669593546E-01 a        30     0     2     1     6
  1.3178892645842322E-01 a        31     0     2     1     7
  1.9002135837264009E-01 a        32     0     2     1     8
 -2.2388446286178978E-01 a        33     0     2     1     9
 -6.6375920106450592E-01 a        34     0     2     1    10
 -1.9478956535535871E-01 a        35     0     2     1    11
 -1.2625206687103016E-01 a        36     0     2     1    12
 -8.1168142945754987E-02 a        37     0     2     1    13
  1.5236125601370468E-01 a        38     0     2     1    14
 -8.4734589087258588E-02 a        39     0     2     1    15
  1.7597678157282751E-02 a        40     0     2     1    16
  3.2037267414227727E-01 a        41     0     2     1    17
 -2.3710419785699288E-01 a        42     0     2     1    18
  6.8033034129915917E-02 a        43     0     2     1    19
  1.8748546840718594E-01 a        44     0     2     1    20
  6.1863791865964420E-02 a        45     0     2     1    21
  4.6088154008732152E-01 a        46     0     2     1    22
  4.4423397628308559E-01 a        47     0     2     1    23
  1.8279400280779307E-01 a        48     0     2     1    24
  7.4962310834277568E-02 a        49     0     3     1     1
  2.4461630461319694E-01 a        50     0     3     1     2
 -3.0527422723879277E-01 a        51     0     3     1     3
  5.8302317588977408E-02 a        52     0     3     1     4
 -6.0268366992043598E-01 a        53     0     3     1     5
  9.9865060887799131E-02 a        54     0     3     1     6
 -5.5042766311822189E-01 a        55     0     3     1     7
  3.1011662304536286E-01 a        56     0     3     1     8
 -5.8806081885600610E-02 a        57     0     3     1     9
  1.5063807443336635E-01 a        58     0     3     1    10
  8.0723979587693062E-02 a        59     0     3     1    11
 -3.8136187891671260E-02 a        60     0     3     1    12
 -1.2349979565530888E-02 a        61     0     3     1    13
  1.2609948692461053E-02 a        62     0     3     1    14
  4.1927950187312824E-01 a        63     0     3     1    15
  1.2119063599307646E-01 a        64     0     3     1    16
  1.5914281681842704E-01 a        65     0     3     1    17
 -1.3664936444469045E-01 a        66     0     3     1    18
 -1.4697389876157899E-01 a        67     0     3     1    19
 -1.1753055015260913E-01 a        68     0     3     1    20
  4.1015380575305416E-01 a        69     0     3     1    21
  3.1491434935516216E-01 a        70     0     3     1    22
 -7.2672638371577647E-01 a        71     0     3     1    23
 -3.5186870945890364E-01 a        72     0     3     1    24
  7.8842954666883999E-02 a        73     0     4     1     1
 -2.0451602090953491E-02 a        74     0     4     1     2
  2.4983380013128254E-01 a        75     0     4     1     3
  1.6656577622724161E-01 a        76     0     4     1     4
  4.5926960407023036E-02 a        77     0     4     1     5
  3.1619662214601212E-02 a        78     0     4     1     6
  5.1212313760196713E-02 a        79     0     4     1     7
 -2.2268606954650536E-01 a        80     0     4     1     8
 -5.9658589726375284E-02 a        81     0     4     1     9
 -6.0092109440257828E-02 a        82     0     4     1    10
  1.3444960994506280E-01 a        83     0     4     1    11
  3.6215385365766045E-02 a        84     0     4     1    12
 -1.4524445227052499E-01 a        85     0     4     1    13
  2.8439239986825009E-02 a        86     0     4     1    14
  1.0620383035873229E-01 a        87     0     4     1    15
 -1.0740481571674824E-01 a        88     0     4     1    16
  6.7309427563938262E-02 a        89     0     4     1    17
 -1.9173741069332704E-02 a        90     0     4     1    18
  4.9248578641325778E-02 a        91     0     4     1    19
 -2.6873173773140951E-01 a        92     0     4     1    20
 -4.5258546012766035E-02 a        93     0     4     1    21
  5.6140724577742551E-02 a        94     0     4     1    22
  2.7389669795229005E-01 a        95     0     4     1    23
 -2.8871670270662540E-02 a        96     0     4     1    24
  8.5533321454770328E-02 a        97     0     5     1     1
  1.8164813578290084E-01 a        98     0     5     1     2
  1.7487143547287556E+00 a        99     0     5     1     3
 -2.1254616585908193E-01 a       100     0     5     1     4
 -2.5495844378940624E-01 a       101     0     5     1     5
 -3.0263639888480731E-01 a       102     0     5     1     6
  4.0666347028201871E-01 a       103     0     5     1     7
 -2.0605626136274802E-01 a       104     0     5     1     8
 -2.4996497079237459E-01 a       105     0     5     1     9
  1.4554110894934333E-01 a       106     0     5     1    10
  4.3153116152017773E-01 a       107     0     5     1    11
  2.6589641236250350E-01 a       108     0     5     1    12
  1.1770534102470493E+00 a       109     0     5     1    13
  3.0565663295394779E-01 a       110     0     5     1    14
  1.3437246641193545E-01 a       111     0     5     1    15
 -2.6762311038515491E-01 a       112     0     5     1    16
  6.3157042261439797E-02 a       113     0     5     1    17
 -8.2732661033349442E-01 a       114     0     5     1    18
 -2.7211806772066548E-02 a       115     0     5     1    19
 -4.4602229586387321E-01 a       116     0     5     1    20
 -2.5756806763209322E-02 a       117     0     5     1    21
 -1.2023687869094717E-03 a       118     0     5     1    22
 -1.2243998163733822E+00 a       119     0     5     1    23
 -3.3074037365017245E-01 a       120     0     5     1    24
 -2.0924834026598488E-01 a       121     0     6     1     1
  3.9649755690907151E-01 a       122     0     6     1     2
 -3.4878232861468517E-01 a       123     0     6     1     3
 -1.5232812657544208E-02 a       124     0     6     1     4
  1.2681627250046651E-01 a       125     0     6     1     5
  2.5972354976180279E-01 a       126     0     6     1     6
  1.9575689526136925E-01 a       127     0     6     1     7
  1.0813571583025313E-02 a       128     0     6     1     8
 -7.8039419873784310E-01 a       129     0     6     1     9
  2.8721637601555189E-01 a       130     0     6     1    10
 -4.3816835551113147E-02 a       131     0     6     1    11
 -6.5837673465357160E-01 a       132     0     6     1    12
 -5.5699325386497696E-02 a       133     0     6     1    13
  1.4763739141993990E-01 a       134     0     6     1    14
  3.1151983529889565E-01 a       135     0     6     1    15
  3.3358645855568525E-01 a       136     0     6     1    16
  2.6006121902327667E-01 a       137     0     6     1    17
 -5.9429390947379712E-01 a       138     0     6     1    18
 -4.0501044359189087E-01 a       139     0     6     1    19
 -6.7394140620763499E-01 a       140     0     6     1    20
 -4.1930168540301960E-02 a       141     0     6     1    21
 -4.0669610189406097E-01 a       142     0     6     1    22
  3.7676734123645478E-01 a       143     0     6     1    23
 -3.6032271125898413E-01 a       144     0     6     1    24
  1.1219182840449865E-02 a       145     0     7     1     1
  3.4164806942108938E-01 a       146     0     7     1     2
  4.7659174285307138E-01 a       147     0     7     1     3
  4.6739060125465270E-01 a       148     0     7     1     4
 -1.5934226172516328E-01 a       149     0     7     1     5
  1.5860695358985880E-01 a       150     0     7     1     6
 -2.1963357456464411E-01 a       151     0     7     1     7
  4.9902586936636800E-01 a       152     0     7     1     8
  1.4371540853299594E-01 a       153     0     7     1     9
 -1.8518271201107005E-02 a       154     0     7     1    10
 -3.7214742906164583E-01 a       155     0     7     1    11
  2.3325502002267504E-01 a       156     0     7     1    12
  8.3603783684702532E-02 a       157     0     7     1    13
  3.2739730692797848E-02 a       158     0     7     1    14
 -4.5252075092450099E-02 a       159     0     7     1    15
  8.8319811634657269E-02 a       160     0     7     1    16
  3.4692666943613071E-01 a       161     0     7     1    17
  8.7308197834105913E-02 a       162     0     7     1    18
 -2.9666588577990299E-01 a       163     0     7     1    19
  2.5720148127928716E-01 a       164     0     7     1    20
 -2.6872033138363816E-01 a       165     0     7     1    21
 -6.1046740299582916E-02 a       166     0     7     1    22
 -4.0574994593067848E-01 a       167     0     7     1    23
 -2.2106620275120903E-01 a       168     0     7     1    24
  1.0199883955215204E-01 a       169     0     8     1     1
  1.4385916666231700E-02 a       170     0     8     1     2
 -1.0193180378853856E-01 a       171     0     8     1     3
  1.1420420523051508E-01 a       172     0     8     1     4
 -1.1829007155400828E-01 a       173     0     8     1     5
  1.5093138073911377E-01 a       174     0     8     1     6
 -3.3557120201346435E-02 a       175     0     8     1     7
  1.0440321894572420E-01 a       176     0     8     1     8
 -8.0843629290302157E-02 a       177     0     8     1     9
 -5.1881679119656361E-02 a       178     0     8     1    10
  2.4709758096926708E-02 a       179     0     8     1    11
  1.8468204179019126E-01 a       180     0     8     1    12
  2.0041517030188766E-02 a       181     0     8     1    13
  4.7075997792857309E-02 a       182     0     8     1    14
  8.1471100206594003E-03 a       183     0     8     1    15
 -2.5088092283322067E-02 a       184     0     8     1    16
 -1.2434926520184322E-01 a       185     0     8     1    17
 -7.0332243527013172E-02 a       186     0     8     1    18
  1.2289582574447601E-01 a       187     0     8     1    19
 -5.9573482306641700E-04 a       188     0     8     1    20
  9.1080798975564925E-03 a       189     0     8     1    21
  4.7477486344133218E-03 a       190     0     8     1    22
 -6.1988732331507396E-02 a       191     0     8     1    23
 -2.2698060689978844E-02 a       192     0     8     1    24
  1.5765183006984939E-02 a       193     0     9     1     1
 -6.8713100390456153E-02 a       194     0     9     1     2
  1.4245810040745110E-01 a       195     0     9     1     3
  8.3293146797301612E-02 a       196     0     9     1     4
 -2.3680654651911023E-01 a       197     0     9     1     5
  3.8332348454326137E-01 a       198     0     9     1     6
 -1.3145157371692848E-01 a       199     0     9     1     7
  9.0679218626696700E-02 a       200     0     9     1     8
  2.5785257023051338E-02 a       201     0     9     1     9
 -2.1741944863726850E-01 a       202     0     9     1    10
  1.7561180032707235E-02 a       203     0     9     1    11
  1.8774608022659309E-01 a       204     0     9     1    12
  9.1141433537102433E-03 a       205     0     9     1    13
 -1.7383541766196678E-01 a       206     0     9     1    14
  6.5015392549626919E-02 a       207     0     9     1    15
 -2.6887420011621199E-01 a       208     0     9     1    16
  1.3247756611856265E-01 a       209     0     9     1    17
 -3.1302999251292962E-01 a       210     0     9     1    18
  1.4067804200262959E-01 a       211     0     9     1    19
  2.0276416042398349E-01 a       212     0     9     1    20
 -9.1953787066357887E-03 a       213     0     9     1    21
  1.0060585455131796E-01 a       214     0     9     1    22
 -2.7965847905453950E-01 a       215     0     9     1    23
  1.2635473235621481E-01 a       216     0     9     1    24
 -1.0385695837460756E-02 a       217     0    10     1     1
  6.5643660472293378E-02 a       218     0    10     1     2
 -5.5563600706042694E-02 a       219     0    10     1     3
  9.1885436152188540E-02 a       220     0    10     1     4
 -1.0779555193168266E-01 a       221     0    10     1     5
 -2.4159505245589932E-01 a       222     0    10     1     6
 -2.1276880948519698E-02 a       223     0    10     1     7
  1.0530180663841297E-01 a       224     0    10     1     8
  3.0788745195296334E-02 a       225     0    10     1     9
  3.2127853078039864E-03 a       226     0    10     1    10
  1.8598165103269015E-01 a       227     0    10     1    11
 -1.2102372222710181E-01 a       228     0    10     1    12
 -1.1092990189925954E-02 a       229     0    10     1    13
  7.3834841890317970E-02 a       230     0    10     1    14
  1.2890576666908868E-01 a       231     0    10     1    15
  9.6343869555300651E-02 a       232     0    10     1    16
 -6.6904943481856299E-02 a       233     0    10     1    17
 -1.1792444547538443E-01 a       234     0    10     1    18
 -6.5247129925381397E-02 a       235     0    10     1    19
