################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.3687449290606624E-01 a         1     0     1     1     1
  2.6513268592893574E-02 a         2     0     1     1     2
  1.9374830044800070E-01 a         3     0     1     1     3
  4.5714229354385905E-02 a         4     0     1     1     4
 -1.1586766075438815E-01 a         5     0     1     1     5
 -4.4333460769519294E-02 a         6     0     1     1     6
  9.4105874963038738E-02 a         7     0     1     1     7
 -1.4204048711124626E-01 a         8     0     1     1     8
 -1.0573829934567121E-01 a         9     0     1     1     9
  4.1637068822576522E-04 a        10     0     1     1    10
  2.4376206284235834E-02 a        11     0     1     1    11
  3.3317552715652621E-02 a        12     0     1     1    12
 -2.0297374191640828E-04 a        13     0     1     1    13
  6.5076488671802935E-02 a        14     0     1     1    14
  3.6801390418215202E-02 a        15     0     1     1    15
 -2.1522126970236127E-01 a        16     0     1     1    16
  1.5091501761582768E-01 a        17     0     1     1    17
 -1.3575481813183184E-02 a        18     0     1     1    18
  4.7851239802756788E-03 a        19     0     1     1    19
  8.1245730227774607E-02 a        20     0     1     1    20
 -2.8664757181731129E-02 a        21     0     1     1    21
 -7.8974682205722541E-02 a        22     0     1     1    22
  1.2346873604344581E-01 a        23     0     1     1    23
  1.5157646232623259E-01 a        24     0     1     1    24
  2.3000879976889327E-01 a        25     0     2     1     1
 -9.4922124929189527E-02 a        26     0     2     1     2
  7.8042638339809775E-02 a        27     0     2     1     3
  2.0048158640961000E-01 a        28     0     2     1     4
  2.6348455625993034E-01 a        29     0     2     1     5
  4.6501650770658980E-02 a        30     0     2     1     6
  1.4058166786423143E-01 a        31     0     2     1     7
 -2.4970859071187759E-01 a        32     0     2     1     8
  2.7189404509608550E-01 a        33     0     2     1     9
  1.9307490914373776E-01 a        34     0     2     1    10
 -1.6315353740733840E-01 a        35     0     2     1    11
 -2.6333097135873396E-01 a        36     0     2     1    12
  1.7047972437408734E-01 a        37     0     2     1    13
  3.2820364048100326E-01 a        38     0     2     1    14
  1.3374491343506459E-01 a        39     0     2     1    15
 -4.4469680984159937E-01 a        40     0     2     1    16
  2.7581212164067737E-01 a        41     0     2     1    17
  6.0506003968893135E-02 a        42     0     2     1    18
 -1.9698319848084508E-01 a        43     0     2     1    19
  3.0489291644149535E-01 a        44     0     2     1    20
 -2.4957643884329211E-01 a        45     0     2     1    21
 -2.0029729826497453E-01 a        46     0     2     1    22
  1.9090041688355811E-01 a        47     0     2     1    23
 -1.2442287390153400E-01 a        48     0     2     1    24
  4.5410213472865550E-02 a        49     0     3     1     1
 -3.3699389612098318E-01 a        50     0     3     1     2
  1.1462694231374808E-01 a        51     0     3     1     3
 -4.4563293119137631E-01 a        52     0     3     1     4
  8.1201966918464347E-02 a        53     0     3     1     5
 -1.3180055056401427E-01 a        54     0     3     1     6
 -5.5262752850086616E-01 a        55     0     3     1     7
 -1.7562542775295212E-01 a        56     0     3     1     8
  2.9147571536595168E-01 a        57     0     3     1     9
 -1.7050339534850581E-01 a        58     0     3     1    10
  1.0526737608750641E-01 a        59     0     3     1    11
 -2.1802365837452187E-01 a        60     0     3     1    12
  4.1767923150199354E-01 a        61     0     3     1    13
  1.3706595538378077E-01 a        62     0     3     1    14
  2.0181825290224099E-02 a        63     0     3     1    15
 -5.2387232801569938E-01 a        64     0     3     1    16
  4.6896145727555788E-01 a        65     0     3     1    17
  9.0792670662774216E-02 a        66     0     3     1    18
