################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.4087154736655106E-02   8.6951195661982872E-01   2.5878840357190513E-01   1.6126350141899007E-01
         1          2   8.3275755024931758E-03   6.9581752895973881E-01   2.2683405647032442E-01   5.4265845896463182E-02
         1          3   1.7656498406371884E-02   6.1832247658427775E-01   1.9182858015897625E-01   4.7632313288303307E-02
         1          4   2.3827431861008299E-02   4.8082642598668257E-01   1.9552183813774354E-01   4.0644612164487524E-02
         1          5   1.5425249027878526E-06   2.7051167740499271E-01   1.7781078647534195E-02   1.4118839692215050E-02
         1          6   5.3429945913588850E-04   8.5232851971597512E-01   2.2668761056276412E-01   8.7147394311066328E-02
         1          7   1.8162140592905768E-03   7.9552200586185751E-01   2.4388056259043905E-01   7.1460051054392154E-02
         1          8   3.1338142010743724E-03   7.3440230463807277E-01   1.8657424870503628E-01   8.1804309752252710E-02
         1          9   1.7488884365594490E-11   1.2654824739484719E-01   1.3267746565520668E-03   2.1473011094875274E-03
         1         10   2.4409725746718678E-10   1.0288214537684894E-01   2.5858730499522191E-02   2.0309914480515508E-02
         1         11   6.9799264504026341E-10   1.3819026260745015E-01   1.8992002801459570E-02   2.7693610973446556E-02
         1         12   9.4031788244689808E-03   2.5503435804924796E-01   9.6202141736166827E-02   2.1279845914582530E-02
         1         13   9.3788399409828350E-03   2.1833610937156028E-01   6.0732728388575172E-02   1.6876165339290729E-02
         1         14   9.9936214884224928E-03   1.7336160415978114E-01   8.2525094009429728E-02   2.5086039414263260E-02
         1         15   1.1213915613510865E-02   6.9816206115771129E-01   1.9508659059149511E-01   1.4955049904708467E-01
         1         16   2.4242576215419273E-01   1.9673753550550819E+00   7.6200059977161128E-01   1.3390654727909107E-01
         1         17   3.0531347588122965E-01   1.6240828253800654E+00   8.3719035539022646E-01   1.5098180556371452E-01
         1         18   1.0802709628892773E-01   7.8786106837502168E-01   3.4155270832715318E-01   5.0885060202437375E-02
         1         19   5.1196507469905235E-02   5.6303183537086698E-01   2.0953819804440171E-01   5.2521018995046298E-02
         1         20   6.0160142456960386E-02   5.3535369134882183E-01   2.1185904073443670E-01   3.9123266600016429E-02
         1         21   1.1489668811347767E-06   1.9220209676922198E-01   6.2545876204694609E-02   4.3859192480538198E-02
         1         22   1.4536273185394577E-01   1.0146556727821703E+00   4.0310068644750296E-01   7.8078650920176559E-02
         1         23   1.9737918904732848E-01   1.7946630944324184E+00   7.4285997105837032E-01   1.3541512320406135E-01
         1         24   5.5981571665382167E-02   1.4147312538073407E+00   4.7749241766445216E-01   1.3714364396513182E-01
         1         25   1.3856515257367702E-01   1.2132156191279737E+00   5.4153584634385354E-01   1.3261005879797833E-01
         1         26   1.1890841834395551E+00   5.0120456926160610E+00   2.4140966780542188E+00   2.9431879131965782E-01
         1         27   3.8452523991507004E-01   1.6468683050005117E+00   7.5976312813671398E-01   9.6275970374056691E-02
         1         28   2.3432435881102953E-01   1.1289678158656711E+00   5.2609116958852709E-01   8.3461527798257981E-02
         1         29   2.3672627416562950E-01   1.1039684446472311E+00   5.2071332680603022E-01   7.0450571046656238E-02
         1         30   6.2344037193520208E-01   3.2259417299118072E+00   1.4926498524475156E+00   1.9018336734455613E-01
         1         31   3.6133121959197817E-01   2.1881669833772630E+00   9.7558020165644399E-01   1.4372112098454484E-01
         1         32   3.5738547555921091E-01   2.1240144249664352E+00   9.7360994279694113E-01   1.3685753341398191E-01
         1         33   1.3182371292229576E-07   1.8830536503464679E-01   3.2706381943631839E-02   4.6417035414906146E-02
         1         34   4.8303266135713263E-01   3.9428296062116859E+00   1.5910197250253630E+00   2.6710271450399653E-01
         1         35   3.6726982331773117E-09   1.7685161097054342E-02   1.9543952666530351E-04   4.4182170679142862E-04
         1         36   4.6475713780052775E-07   2.6929096930004479E-02   2.1849388390132005E-03   1.7002342317213469E-03
         1         37   1.9435134014389341E-06   3.5564149579181470E-02   8.1309526245812620E-04   1.2728107525469435E-03
         1         38   6.4058149513665436E-06   1.5837610581598036E-02   1.0009755373425529E-03   7.1673822135078793E-04
         1         39   3.4192112931042775E-08   1.4706323507873447E-02   9.7101036305850710E-04   1.4976329589528933E-03
         1         40   2.2110399203908156E-10   1.0257797402096322E-02   7.3426834416579883E-05   1.9395725488112380E-04
         1         41   9.4370407440553833E-07   8.6604649745187275E-03   3.2501348889554858E-04   3.2052044528398441E-04
         1         42   7.5633594234302426E-08   7.5137347251157576E-03   4.1874997868278862E-04   5.2047935619607569E-04
         1         43   4.7947954229844862E-10   8.0293118812476798E-03   1.2296915647912209E-04   2.5615169010037803E-04
         1         44   1.6529383633445852E-08   1.6297529769974128E-02   1.0230211881171938E-04   2.9538694793582729E-04
         1         45   8.4177879693830124E-14   4.8934757450225658E-03   1.9897799581241820E-05   8.3482283466699140E-05
         1         46   2.9021777597956998E-08   8.1418018246565294E-03   1.3297481137917289E-04   1.9029849437013650E-04
         1         47   3.0769069991814305E-08   1.6970740598104245E-02   2.7442770358964308E-04   5.6669021135633988E-04
         1         48   5.3394444369029743E-06   4.3871879986152343E-02   8.0445290205732774E-03   5.6173618187556340E-03
         1         49   2.6021154655975922E-08   1.8420296228808190E-02   4.4360326114279789E-03   3.1207292903058475E-03
         1         50   4.1671479607233744E-08   3.4214704550603438E-03   2.0710625266051074E-04   2.4298729013713828E-04
         1         51   6.6945969740574929E-06   5.7218893132736690E-02   1.2071080995354159E-03   2.5394503638828257E-03
         1         52   1.6061499426538877E-08   6.5398424590920653E-03   2.9792224859306990E-04   4.2067326384585146E-04
         1         53   5.0477874587817016E-11   5.3319754662496674E-03   1.1585858768449043E-04   1.2335430079477046E-04
         1         54   2.5995390113308789E-13   2.5317490339860421E-03   7.7472922023119976E-06   3.7858652827427583E-05
         1         55   2.6521174953817801E-08   1.2065343545635921E-02   9.1686729730005483E-05   3.0587967376814507E-04
         1         56   1.1431213950163282E-07   4.0520743071409257E-03   1.7001686459036043E-04   2.0720603399776078E-04
         1         57   3.7636156289939786E-10   1.8701159237643780E-03   7.0166939132640027E-05   1.1025116091648738E-04
         1         58   7.4103288341757475E-10   4.6096917238837160E-03   9.2841476731524890E-05   1.1701692387699474E-04
         1         59   1.6162723733533628E-08   2.6558978670946673E-03   3.5967533529653687E-05   5.4848398399824416E-05
         1         60   4.5430091924636400E-15   1.2015782943103344E-03   1.4219619282388430E-06   1.1263803838538351E-05
         1         61   9.8291736281969435E-12   2.9212827820858612E-03   1.3145807311567976E-05   4.6787702207652958E-05
         1         62   1.3542477710507628E-10   7.2955992671583023E-03   1.2034887067922932E-05   7.2810591756939947E-05
         1         63   4.2144693302970202E-10   2.5473880321080847E-03   1.0088415257539870E-05   3.0729715519469293E-05
         1         64   1.8504669443014467E-07   1.7968341158580977E-02   2.1361233293324173E-04   8.4832921571214041E-04
         1         65   5.0566665948450301E-08   5.4418669451768171E-03   8.5367199687555689E-04   1.0338805114730168E-03
         1         66   1.4486407753667163E-10   4.4259982301663407E-04   1.9745766617758605E-05   2.8578532707765679E-05
         1         67   7.1190219298828856E-15   1.4261260571425455E-03   1.0261595737780707E-06   1.0682864003564173E-05
         1         68   1.5221702494650317E-11   3.4143179942166353E-03   1.2639241589643539E-04   1.3232405322422379E-04
         1         69   1.2926615971324173E-10   3.8206895039597385E-03   1.1072144535779819E-05   7.9237384147700914E-05
         1         70   5.1518211686856070E-15   9.3138202604186064E-04   4.1325131324776128E-05   3.8797675296330941E-05
         1         71   1.9019008127956374E-12   1.7363581041959257E-03   1.7132457463799756E-05   2.4689964514613550E-05
         1         72   8.1634946687340239E-12   3.2188828668782933E-03   3.5658265250108575E-06   3.0682013118094490E-05
         1         73   1.5289784357254008E-09   1.0248504837818936E-02   4.9127928488597841E-05   3.6010197112991296E-04
         1         74   1.5132439035915154E-13   1.2645107588254932E-04   2.8559893213385163E-06   5.0229143789949148E-06
         1         75   2.2388888178392073E-18   2.8951072915835765E-04   8.2387675837695688E-08   1.5379659841652568E-06
         1         76   5.5286780992804611E-18   2.8759707461036851E-04   2.1548361777710306E-07   1.8619946357677787E-06
         1         77   3.8601436143122791E-16   5.7716111314001697E-04   1.0618886900482735E-05   2.4117229384808667E-05
         1         78   4.9740878550735192E-14   1.0904221859889260E-03   1.4128519388984946E-06   1.3458023759162769E-05
         1         79   7.9229104892530700E-14   4.5968663271191582E-05   1.2180458648800244E-06   2.0148474470351828E-06
         1         80   2.0674376463753236E-16   6.0502154531673032E-04   1.1526429495273718E-05   1.6179944854445124E-05
         1         81   1.3957733494708700E-21   1.3261446496671734E-04   1.2344572655748274E-06   1.5934345097594741E-06
         1         82   2.5475470682222629E-14   1.7354195748560202E-04   1.4757255288293827E-06   3.3782843930751080E-06
         1         83   7.3573587749121431E-20   9.5258692530753655E-06   3.3682932350223000E-08   1.0708936752255636E-07
         1         84   1.9235411069258898E-22   5.5946241171999915E-05   6.0536767169392944E-09   2.0430890949694681E-07
         1         85   1.2533078093280334E-17   3.0217110200461721E-04   1.4146388352046261E-06   2.6718466939092668E-06
         1         86   1.5039312658206697E-16   4.5493496686709522E-04   1.7786154475066608E-07   3.0747400136116058E-06
         1         87   1.2886822798325347E-22   3.7911738223407693E-05   1.8369351821622904E-07   3.3540055065839689E-07
         1         88   3.6917334940949721E-15   5.4555250438651623E-05   1.9906733811860370E-07   5.9907962758683132E-07
         1         89   5.1348897823452666E-20   3.9768510312010771E-06   1.7646595929419043E-08   4.9739248758975812E-08
         1         90   1.5641831198709013E-24   1.8922584155510940E-05   1.2032718975142107E-09   6.3559013303805507E-08
         1         91   3.5999504594399521E-19   1.0191971853450865E-04   3.8801483967751285E-08   4.3645348847966747E-07
         1         92   1.3679885913697342E-18   3.8756780037937742E-04   4.0755676017209314E-08   1.6879643447954351E-06
         1         93   1.0551386409560672E-24   1.4009154368777344E-05   5.5147853861842883E-09   6.0178131231229470E-08
         1         94   9.2677548102669006E-17   2.5045550259521103E-05   7.6958242663882588E-09   1.0838542892689842E-07
         1         95   1.2822754457756799E-22   2.7254470048308684E-05   1.3395623816750736E-07   4.6059499787477724E-07
         1         96   1.8345309566283216E-20   7.7007313529966532E-05   2.4694921923390646E-08   5.5875587614964550E-07
         1         97   4.1986102019070458E-15   1.2051332487872767E-03   6.3004382788316054E-05   6.9865208805649321E-05
         1         98   2.1515829546930193E-14   1.6050585153206327E-03   4.2499277635628743E-06   4.3219292213096115E-05
         1         99   2.8882963514558053E-21   2.0620779042822477E-04   4.8102953549859957E-06   4.8062393737989624E-06
         1        100   9.9029402510355972E-16   2.0742525571418180E-04   7.1441640875345015E-06   1.2611877764958859E-05
         1        101   3.2694644047593946E-04   1.8881886106938472E-01   1.5221513254941466E-02   1.0129177300834994E-02
         1        102   3.3293828639905970E-03   3.1702663897804695E-01   3.4586466541232902E-02   1.7715938660346629E-02
         1        103   5.9058508684449709E-05   9.9313973087785321E-02   6.6054307354719809E-03   5.1077867636177398E-03
         1        104   3.6444770126100570E-04   1.6028980566737985E-01   1.7068068042539793E-02   1.0658633860684870E-02
         1        105   1.2568875021387201E-03   1.7055676790209423E-01   1.4767697503779381E-02   9.0824267570623375E-03
         1        106   3.1795006152896622E-05   9.4819671129653643E-02   6.0336451494110016E-03   4.2596141388098535E-03
         1        107   8.0126907472141586E-04   1.0996266881667435E-01   1.7291080694960707E-02   6.7207604161429232E-03
         1        108   2.1333719217864417E-03   3.0183864144317246E-01   3.2106105472502436E-02   1.8530587245795625E-02
         1        109   1.3586628440514024E-02   6.1742682758783118E-01   8.2540388402621942E-02   3.4525448374479628E-02
         1        110   1.8977776699030762E-02   3.2313782355234610E-01   8.3594091268249418E-02   2.1086557932254058E-02
         1        111   2.6832187271189000E-03   1.5318181124769054E-01   1.9524846284242243E-02   9.9981965815056275E-03
         1        112   5.4673611600378007E-04   2.1411229271072540E-01   2.4917021495916482E-02   1.4030405269301466E-02
         1        113   1.4438108708699556E-03   2.1525908908168698E-01   1.9465800486628094E-02   1.1495167169272291E-02
         1        114   2.7833454533056977E-03   1.2951668287190407E-01   1.9665878061026855E-02   7.3198555549326043E-03
         1        115   5.2506766109717510E-04   1.1846462860386278E-01   8.2637271784817470E-03   5.8769897912927561E-03
         1        116   7.9262534642859245E-04   1.8434698007055494E-01   1.6826053628681895E-02   1.1243188809213819E-02
         1        117   8.4293448826862193E-03   2.0315964820598409E-01   5.2907241313359984E-02   1.4923683356178578E-02
         1        118   1.1720073977925058E-04   1.0647586178600962E-01   1.0576862922460290E-02   6.7498177446619909E-03
         1        119   2.9696353691893615E-04   1.1311575964109198E-01   6.9745712053501203E-03   5.4504354517557873E-03
         1        120   2.5276986032231026E-04   6.3054442966219690E-02   5.2857906878099751E-03   4.4442975756460272E-03
         1        121   2.3620877964180839E-05   5.0995960150496886E-02   3.7808673855425964E-03   2.9817832968265716E-03
         1        122   9.8289291628531091E-05   6.5565835840440512E-02   2.9394078812256933E-03   2.7609401510240599E-03
         1        123   2.2144077447337675E-04   8.8015925453659286E-02   1.9123454663242372E-02   1.1512986809351752E-02
         1        124   2.1279573578381300E-04   4.0807930479584399E-02   3.6917775610050005E-03   2.8433048455398951E-03
         2          1   1.8760347519299106E-03   6.6355672402642774E-01   2.2509909348024459E-01   6.9476002780680418E-02
         2          2   7.7063233440192048E-03   4.7295947551013112E-01   1.2187902152965636E-01   2.9330635245573861E-02
         2          3   1.1153002121565274E-02   1.0545409100562506E+00   3.6582084388565855E-01   6.1963038650409717E-02
         2          4   5.1420357841343355E-04   6.7071915532806559E-01   2.1372055101353682E-01   6.2583816462641245E-02
         2          5   2.4990074924549368E-03   6.3969238884340907E-01   1.6551685823534326E-01   3.6003871646993431E-02
         2          6   8.5428360464709107E-09   1.8017270730142196E-01   3.8788095749283262E-02   3.9903407789011719E-02
         2          7   1.5945101003971875E-11   4.2338093517848459E-02   7.9026071619148989E-03   3.2652996807047297E-03
         2          8   2.8867562089841907E-10   8.7328356881277200E-02   1.6961711633475960E-02   1.7252529780660560E-02
         2          9   1.4782702966394777E-02   2.5627026832928079E-01   9.1099092582862667E-02   3.4975175881311521E-02
         2         10   2.3899979168109575E-03   1.7597476545371873E-01   2.4498011783865077E-02   1.2670510175664250E-02
         2         11   2.1166245386140622E-04   1.7860936133406069E-01   5.6605451521861111E-02   2.5724716223436098E-02
         2         12   4.7062384192029250E-01   2.8252119071945798E+00   1.2896509483390162E+00   1.6298746537777056E-01
