################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.2022690173171659E-02 a         1     0     1     1     1
 -3.5300574874259844E-01 a         2     0     1     1     2
  7.8242047241680468E-01 a         3     0     1     1     3
  1.0066111421682696E-01 a         4     0     1     1     4
 -4.8235483858601991E-02 a         5     0     1     1     5
  2.9326543640594488E-01 a         6     0     1     1     6
 -2.0433532994963841E-01 a         7     0     1     1     7
  8.1467696480457719E-01 a         8     0     1     1     8
  5.3754849198097598E-01 a         9     0     1     1     9
  4.6138751547017504E-01 a        10     0     1     1    10
 -2.8227615657153265E-01 a        11     0     1     1    11
  3.5882506757755112E-01 a        12     0     1     1    12
  6.5682106112900063E-01 a        13     0     1     1    13
 -1.1513905583531032E-01 a        14     0     1     1    14
 -1.6854588238035451E-01 a        15     0     1     1    15
 -1.9566355619734685E-01 a        16     0     1     1    16
  1.0721956947686492E-01 a        17     0     1     1    17
  4.5378541692514102E-01 a        18     0     1     1    18
  2.1599519167191425E-01 a        19     0     1     1    19
 -2.0609337873179981E-01 a        20     0     1     1    20
  5.3117923753083029E-01 a        21     0     1     1    21
 -2.8351841472799361E-01 a        22     0     1     1    22
  6.6043369453146183E-01 a        23     0     1     1    23
  1.9317393872138433E-01 a        24     0     1     1    24
 -1.0067363211196348E-02 a        25     0     2     1     1
 -1.2398860607195270E-01 a        26     0     2     1     2
 -4.5851476614936582E-01 a        27     0     2     1     3
  2.0227803345616599E-01 a        28     0     2     1     4
 -2.5038473675026035E-01 a        29     0     2     1     5
 -3.9189226054682468E-02 a        30     0     2     1     6
 -6.8732806069264393E-02 a        31     0     2     1     7
 -4.4493158172350715E-02 a        32     0     2     1     8
  2.3174443720762800E-01 a        33     0     2     1     9
 -1.5669923888758186E-01 a        34     0     2     1    10
  6.2783944746982442E-02 a        35     0     2     1    11
 -2.6360953149809092E-02 a        36     0     2     1    12
 -6.5038960779536525E-02 a        37     0     2     1    13
 -1.8878492423332202E-01 a        38     0     2     1    14
 -5.2489176383505065E-01 a        39     0     2     1    15
 -2.6913800747865479E-01 a        40     0     2     1    16
 -9.0449478983853457E-02 a        41     0     2     1    17
  1.8078337157026914E-01 a        42     0     2     1    18
  1.6591927799282993E-01 a        43     0     2     1    19
 -1.0426364597535624E-01 a        44     0     2     1    20
  1.7966688903437145E-01 a        45     0     2     1    21
 -7.1543154332706818E-02 a        46     0     2     1    22
  6.4767738498962557E-02 a        47     0     2     1    23
  3.5079889633708804E-02 a        48     0     2     1    24
  1.0852344050197311E+00 a        49     0     3     1     1
  1.0789181430751775E+00 a        50     0     3     1     2
 -4.6266920147479323E-01 a        51     0     3     1     3
 -3.1484379125333845E-01 a        52     0     3     1     4
 -6.2317995632281120E-01 a        53     0     3     1     5
 -3.7844451139855306E-01 a        54     0     3     1     6
 -7.7145527741464293E-01 a        55     0     3     1     7
  2.7855093613076892E-01 a        56     0     3     1     8
  8.1337081043777859E-01 a        57     0     3     1     9
  1.2429613151308934E+00 a        58     0     3     1    10
 -4.5023725769464319E-02 a        59     0     3     1    11
  5.3223504771839103E-01 a        60     0     3     1    12
 -9.2487127798958291E-02 a        61     0     3     1    13
  4.5505341889964440E-01 a        62     0     3     1    14
  4.0020897453600934E-01 a        63     0     3     1    15
 -7.2943894025570666E-01 a        64     0     3     1    16
 -1.1662296522619024E-01 a        65     0     3     1    17
  5.3351816416458864E-01 a        66     0     3     1    18
 -2.3473212147635425E-01 a        67     0     3     1    19
 -3.6246474416014801E-01 a        68     0     3     1    20
  1.1243716002364719E+00 a        69     0     3     1    21
  4.8553735132588266E-01 a        70     0     3     1    22
 -1.2247142318172699E+00 a        71     0     3     1    23
  5.2965408033838801E-01 a        72     0     3     1    24
  5.9532821683708625E-01 a        73     0     4     1     1
  2.1105980055657825E-01 a        74     0     4     1     2
  3.6517975097812533E-01 a        75     0     4     1     3
 -9.3209395732106987E-02 a        76     0     4     1     4
 -8.0720142201574197E-01 a        77     0     4     1     5
  3.5906174314146605E-01 a        78     0     4     1     6
  4.8438052029883033E-01 a        79     0     4     1     7
  8.7756442088802855E-01 a        80     0     4     1     8
  1.2403819956269017E-01 a        81     0     4     1     9
  2.4951924928029914E-01 a        82     0     4     1    10
 -4.1992928909317756E-01 a        83     0     4     1    11
 -1.0703056124057546E+00 a        84     0     4     1    12
  2.1115067593412806E-01 a        85     0     4     1    13
 -8.7866961663027898E-01 a        86     0     4     1    14
  1.5215369556780861E-01 a        87     0     4     1    15
 -1.1111096871632554E-01 a        88     0     4     1    16
  5.4317762854011034E-02 a        89     0     4     1    17
  2.2298031310270480E-01 a        90     0     4     1    18
  4.7774268904495482E-01 a        91     0     4     1    19
 -1.2621650827065816E+00 a        92     0     4     1    20
  1.1376318207332730E+00 a        93     0     4     1    21
  9.3740089732405629E-01 a        94     0     4     1    22
 -2.8230298395116338E-01 a        95     0     4     1    23
 -4.0585501827910188E-02 a        96     0     4     1    24
  3.4286700880838544E-02 a        97     0     5     1     1
  3.1005851010678326E-01 a        98     0     5     1     2
 -6.0733812871428469E-02 a        99     0     5     1     3
 -6.1646617669057178E-02 a       100     0     5     1     4
  4.5398578653992022E-01 a       101     0     5     1     5
  1.5157302242334694E-01 a       102     0     5     1     6
 -9.7756273223560300E-02 a       103     0     5     1     7
 -4.4188727441030234E-01 a       104     0     5     1     8
  5.0870370237826860E-02 a       105     0     5     1     9
 -1.2774955894155779E-01 a       106     0     5     1    10
  2.7558208892204037E-02 a       107     0     5     1    11
 -6.2496556683686706E-02 a       108     0     5     1    12
 -9.9222643001753008E-01 a       109     0     5     1    13
 -1.4336536655309470E-01 a       110     0     5     1    14
 -1.9655074587174599E-02 a       111     0     5     1    15
 -1.1227418118494019E-01 a       112     0     5     1    16
  4.5429903119497161E-01 a       113     0     5     1    17
 -1.8377196706612131E-01 a       114     0     5     1    18
  4.9480093127187946E-01 a       115     0     5     1    19
  2.9693272868150451E-02 a       116     0     5     1    20
 -1.6760406034981762E-01 a       117     0     5     1    21
  9.0375689244718199E-02 a       118     0     5     1    22
  5.6037309361369435E-02 a       119     0     5     1    23
  5.9337903441991399E-02 a       120     0     5     1    24
 -1.0279642627122684E-01 a       121     0     6     1     1
  1.8010932288238010E-01 a       122     0     6     1     2
  1.3900317549099362E-02 a       123     0     6     1     3
  3.6374237974642384E-02 a       124     0     6     1     4
  2.2415747788266235E-01 a       125     0     6     1     5
  5.4002592625258783E-01 a       126     0     6     1     6
 -9.8436915640769396E-02 a       127     0     6     1     7
  3.2798297657013462E-02 a       128     0     6     1     8
 -4.6490588821014880E-02 a       129     0     6     1     9
  1.0445976726514526E-01 a       130     0     6     1    10
 -1.0803021815534805E-01 a       131     0     6     1    11
  2.2237558381835026E-02 a       132     0     6     1    12
 -9.1750416745671748E-02 a       133     0     6     1    13
  1.5406838282410049E-01 a       134     0     6     1    14
  2.3769666785134974E-01 a       135     0     6     1    15
  2.6258260380168419E-01 a       136     0     6     1    16
 -7.2932129327560616E-02 a       137     0     6     1    17
 -3.1009315251620329E-01 a       138     0     6     1    18
  2.9050602994352567E-02 a       139     0     6     1    19
  7.1482257669321134E-02 a       140     0     6     1    20
 -1.1526800754506496E-01 a       141     0     6     1    21
  1.0663660970565499E-01 a       142     0     6     1    22
 -2.0241333130464784E-01 a       143     0     6     1    23
 -2.7060381454231633E-02 a       144     0     6     1    24
 -6.3933831001168961E-01 a       145     0     7     1     1
 -7.6138358487003288E-01 a       146     0     7     1     2
  6.3363875859909713E-01 a       147     0     7     1     3
  9.5518136204656323E-01 a       148     0     7     1     4
  6.8535179829351878E-01 a       149     0     7     1     5
  4.6514214073451604E-01 a       150     0     7     1     6
  7.5898006854002964E-01 a       151     0     7     1     7
 -2.3600923305938534E-01 a       152     0     7     1     8
 -7.3429473184714400E-01 a       153     0     7     1     9
 -8.1687487177627804E-01 a       154     0     7     1    10
 -1.5170689009363622E-01 a       155     0     7     1    11
 -9.5533134999332719E-02 a       156     0     7     1    12
 -4.8899689597125950E-01 a       157     0     7     1    13
 -4.8650529043307045E-01 a       158     0     7     1    14
 -5.0295598425120824E-01 a       159     0     7     1    15
  1.8672986011496132E-01 a       160     0     7     1    16
  3.4162436253220263E-01 a       161     0     7     1    17
 -2.7491326292144991E-01 a       162     0     7     1    18
  9.8211993862914093E-01 a       163     0     7     1    19
 -1.0392334414014555E-01 a       164     0     7     1    20
 -7.1166427465896498E-01 a       165     0     7     1    21
 -3.9744376961445815E-01 a       166     0     7     1    22
  9.9003447506646003E-01 a       167     0     7     1    23
 -3.1795345010455600E-01 a       168     0     7     1    24
  5.9298288052716266E-02 a       169     0     8     1     1
  1.9858504764598220E-01 a       170     0     8     1     2
 -3.4444841831111117E-01 a       171     0     8     1     3
  9.3165837198217361E-02 a       172     0     8     1     4
  7.8107252569387975E-01 a       173     0     8     1     5
 -1.5863318061937251E-01 a       174     0     8     1     6
 -1.0611089250950993E-01 a       175     0     8     1     7
 -9.3058758817882992E-01 a       176     0     8     1     8
 -7.0849921016111850E-01 a       177     0     8     1     9
  4.0167894175352832E-02 a       178     0     8     1    10
  2.3726463278226262E-01 a       179     0     8     1    11
  2.9146183014538118E-01 a       180     0     8     1    12
 -2.4312548766507666E-01 a       181     0     8     1    13
  4.1942389639583244E-01 a       182     0     8     1    14
  7.1224450505436424E-02 a       183     0     8     1    15
  3.2769628689203117E-01 a       184     0     8     1    16
 -4.9266536864358224E-01 a       185     0     8     1    17
 -1.6185967925092645E-01 a       186     0     8     1    18
 -3.7333402907812374E-01 a       187     0     8     1    19
  8.0850633682836304E-01 a       188     0     8     1    20
 -3.2430551886894610E-01 a       189     0     8     1    21
 -1.9438504861743272E-01 a       190     0     8     1    22
 -2.2931409214290960E-01 a       191     0     8     1    23
  9.5902646869926403E-02 a       192     0     8     1    24
 -2.9890578365514255E-02 a       193     0     9     1     1
 -8.9096731063718670E-01 a       194     0     9     1     2
 -1.0765189156140728E-01 a       195     0     9     1     3
  1.7073071598381406E-01 a       196     0     9     1     4
 -6.0584431185978629E-02 a       197     0     9     1     5
 -5.1048581126236958E-01 a       198     0     9     1     6
 -1.8037383901728909E-01 a       199     0     9     1     7
  2.6744712178897123E-01 a       200     0     9     1     8
  5.3675485841979909E-01 a       201     0     9     1     9
  9.2132958624374761E-02 a       202     0     9     1    10
 -4.9081559234943582E-02 a       203     0     9     1    11
 -6.7151948764935535E-02 a       204     0     9     1    12
  8.9861480803280969E-01 a       205     0     9     1    13
  1.7193708957918991E-01 a       206     0     9     1    14
  7.8938940822529460E-02 a       207     0     9     1    15
 -1.0287489912573672E-01 a       208     0     9     1    16
 -1.5351556827631860E-01 a       209     0     9     1    17
  4.1225551814933675E-02 a       210     0     9     1    18
 -4.3834825825574614E-01 a       211     0     9     1    19
 -4.9933486273823005E-02 a       212     0     9     1    20
  1.1987479625300763E-01 a       213     0     9     1    21
 -3.9333221573528832E-01 a       214     0     9     1    22
 -9.4653081215507848E-02 a       215     0     9     1    23
  2.4182897029755943E-01 a       216     0     9     1    24
 -5.4390865650130994E-02 a       217     0    10     1     1
 -1.4758204883076279E-01 a       218     0    10     1     2
 -8.0753210462151692E-01 a       219     0    10     1     3
  5.7739460358835037E-01 a       220     0    10     1     4
 -9.5230794495034932E-01 a       221     0    10     1     5
  3.6287381058555784E-01 a       222     0    10     1     6
  5.7965698005543453E-01 a       223     0    10     1     7
 -2.2626022200620188E-01 a       224     0    10     1     8
  1.5175623454502199E-01 a       225     0    10     1     9
  3.7520174225166916E-02 a       226     0    10     1    10
 -6.4116332183962954E-02 a       227     0    10     1    11
 -5.9712830074413403E-01 a       228     0    10     1    12
  4.0108810765890779E-01 a       229     0    10     1    13
 -2.4661009634827868E-03 a       230     0    10     1    14
  4.2016379252117331E-01 a       231     0    10     1    15
  1.0642517415418220E+00 a       232     0    10     1    16
 -1.0037984671988472E-01 a       233     0    10     1    17
 -1.5494531579583989E-01 a       234     0    10     1    18
 -9.2711964339817188E-01 a       235     0    10     1    19
 -3.3401022382130702E-01 a       236     0    10     1    20
 -2.3073419416402280E-01 a       237     0    10     1    21
  6.1996804888717216E-01 a       238     0    10     1    22
 -8.9119272442153175E-01 a       239     0    10     1    23
 -1.0011956663671760E-01 a       240     0    10     1    24
 -1.2201332211960152E+00 a       241     0    11     1     1
  9.3939002699879004E-01 a       242     0    11     1     2
  6.9628317485876690E-01 a       243     0    11     1     3
 -9.5783615552906864E-01 a       244     0    11     1     4
 -1.4301561015240647E+00 a       245     0    11     1     5
  7.3181934587819364E-01 a       246     0    11     1     6
  5.2355484456740620E-01 a       247     0    11     1     7
  2.1478388761757152E+00 a       248     0    11     1     8
 -1.3353362420298379E-01 a       249     0    11     1     9
  1.1561644666698800E+00 a       250     0    11     1    10
 -6.1545965616352671E-01 a       251     0    11     1    11
  4.2649902588153860E-01 a       252     0    11     1    12
  7.2214316341675189E-01 a       253     0    11     1    13
 -1.3682533736625668E+00 a       254     0    11     1    14
  3.8984463283637383E-01 a       255     0    11     1    15
  5.5680195989205050E-01 a       256     0    11     1    16
 -7.4150993479344918E-01 a       257     0    11     1    17
  4.7325102022714990E-02 a       258     0    11     1    18
  3.9016909986927756E-01 a       259     0    11     1    19
  1.4609149587763948E-01 a       260     0    11     1    20
  1.1760036506251523E+00 a       261     0    11     1    21
 -8.4458820793055389E-01 a       262     0    11     1    22
 -7.3805743699354553E-02 a       263     0    11     1    23
 -3.6841800295178750E-01 a       264     0    11     1    24
  2.0583452863877878E-02 a       265     0    12     1     1
  6.1295706536384824E-02 a       266     0    12     1     2
  2.0124184562322794E-01 a       267     0    12     1     3
  1.4243850315376852E-02 a       268     0    12     1     4
  2.7532728365795645E-01 a       269     0    12     1     5
 -8.1865484434265855E-03 a       270     0    12     1     6
 -1.3428250468486371E-03 a       271     0    12     1     7
 -7.0454623714492362E-02 a       272     0    12     1     8
 -7.0833082814591455E-02 a       273     0    12     1     9
  1.5901969101125568E-01 a       274     0    12     1    10
 -3.8641934864062366E-02 a       275     0    12     1    11
  2.1550607729335505E-01 a       276     0    12     1    12
 -1.1163956949175068E-01 a       277     0    12     1    13
 -3.2415413185243686E-02 a       278     0    12     1    14
  2.7399969380221273E-01 a       279     0    12     1    15
  2.0257138889465778E-01 a       280     0    12     1    16
  2.3746201136423006E-02 a       281     0    12     1    17
 -9.6710690329602042E-02 a       282     0    12     1    18
 -1.2762930560682861E-01 a       283     0    12     1    19
 -1.0448920254636231E-01 a       284     0    12     1    20
  6.0572254807285772E-02 a       285     0    12     1    21
 -2.5816612357753520E-02 a       286     0    12     1    22
 -3.3646035500565739E-02 a       287     0    12     1    23
  6.1557067067945621E-02 a       288     0    12     1    24
 -1.9358740814479020E-01 a       289     0    13     1     1
 -4.9844523967140764E-01 a       290     0    13     1     2
  4.1587200080571501E-01 a       291     0    13     1     3
  1.1682803136652879E-01 a       292     0    13     1     4
